Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;Doppler;Drift;Jitter
500;6852669.335;738079.4522;-669858.0569;0;0;0;2.307777513;0.444334893;1103923.731;1444492.585;7590859.766;-0.001135996;0;0;0;0;5.695237908;0;2.307777513;0.444334893;-2.157286518;-3.06772881;0.58877337;5.842713482;-31434.98717;5981.879163;0;0;86400.5;2163;0;0;495.1816914;;-31437.4658;-54.2566;0.912999999
600;6852565.756;738621.6073;-670319.8342;0;0;0;2.307755043;0.443973201;1104521.966;1445090.824;7594003.536;-0.001135996;0;0;0;0;5.6995101;0;2.307755043;0.443973201;-2.160266243;-3.06775034;0.588515552;5.839733757;-31440.41771;5982.912561;0;0;86400.6;2163;0;0;595.1796959;;-31442.89146;-54.1653;0.921
700;6852462.103;739163.755;-670781.6034;0;0;0;2.307732605;0.443611846;1105120.305;1445689.167;7597147.849;-0.001135996;0;0;0;0;5.703785439;0;2.307732605;0.443611846;-2.163243206;-3.067771837;0.58825807;5.836756794;-31445.83877;5983.944153;0;0;86400.7;2163;0;0;695.1777;;-31448.30799;-54.0732;0.903
800;6852358.377;739705.8954;-671243.3646;0;0;0;2.307710198;0.443250824;1105718.746;1446287.613;7600292.704;-0.001135996;0;0;0;0;5.708063925;0;2.307710198;0.443250824;-2.166217412;-3.067793304;0.588000923;5.833782588;-31451.25109;5984.974084;0;0;86400.8;2163;0;0;795.1757038;;-31453.71531;-53.9829;0.915
900;6852254.576;740248.0284;-671705.1176;0;0;0;2.307687821;0.442890137;1106317.29;1446886.162;7603438.099;-0.001135996;0;0;0;0;5.712345563;0;2.307687821;0.442890137;-2.169188865;-3.06781474;0.58774411;5.830811135;-31456.65385;5986.002195;0;0;86400.9;2163;0;0;895.1737073;;-31459.1136;-53.8914;0.903
1000;6852150.701;740790.1542;-672166.8627;0;0;0;2.307665475;0.442529784;1106915.937;1447484.813;7606584.034;-0.001135996;0;0;0;0;5.716630356;0;2.307665475;0.442529784;-2.172157569;-3.067836142;0.587487631;5.827842431;-31462.04776;5987.028622;0;0;86401;2163;0;0;995.1717104;;-31464.50274;-53.8011;0.915000001
1100;6852046.753;741332.2726;-672628.5996;0;0;0;2.30764316;0.442169764;1107514.687;1448083.567;7609730.509;-0.001135996;0;0;0;0;5.720918305;0;2.30764316;0.442169764;-2.175123528;-3.067857515;0.587231485;5.824876472;-31467.43269;5988.053339;0;0;86401.1;2163;0;0;1095.169713;;-31469.88285;-53.7096;0.893
1200;6851942.73;741874.3836;-673090.3285;0;0;0;2.307620876;0.441810077;1108113.539;1448682.424;7612877.521;-0.001135996;0;0;0;0;5.725209414;0;2.307620876;0.441810077;-2.178086745;-3.067878855;0.586975672;5.821913255;-31472.80821;5989.076267;0;0;86401.2;2163;0;0;1195.167716;;-31475.25381;-53.6203;0.915
1300;6851838.634;742416.4873;-673552.0493;0;0;0;2.307598622;0.441450722;1108712.493;1449281.383;7616025.07;-0.001135996;0;0;0;0;5.729503687;0;2.307598622;0.441450722;-2.181047225;-3.067900166;0.586720191;5.818952775;-31478.1751;5990.097553;0;0;86401.3;2163;0;0;1295.165718;;-31480.61584;-53.5288;0.887
1400;6851734.463;742958.5836;-674013.762;0;0;0;2.307576399;0.441091698;1109311.549;1449880.443;7619173.155;-0.001135996;0;0;0;0;5.733801125;0;2.307576399;0.441091698;-2.184004971;-3.067921446;0.586465042;5.815995029;-31483.5325;5991.117032;0;0;86401.4;2163;0;0;1395.163719;;-31485.96872;-53.4401;0.91
