Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;Doppler;Drift;Jitter
500;6936171.007;254702.4873;0.041181048;0;0;0;1.570796165;1.142608185;613410.6233;953976.4878;5013180.279;-0.001135996;0;0;0;0;2.706355129;0;1.570796165;1.142608185;3.80677168;-3.141592354;1.1793126;11.80677168;-14180.08279;2698.380034;0;0;86400.5;2163;0;0;496.817877;;-14196.55221;-330.7314;4.389
600;6936144.977;255409.2974;0.041530606;0;0;0;1.570796164;1.141542799;613680.7747;954246.6407;5014599.943;-0.001135996;0;0;0;0;2.707667151;0;1.570796164;1.141542799;3.804250641;-3.141592355;1.178349116;11.80425064;-14213.17792;2704.677829;0;0;86400.6;2163;0;0;596.8169758;;-14229.62535;-330.2925;4.392
700;6936118.875;256116.1048;0.041880268;0;0;0;1.570796163;1.140478307;613951.5555;954517.423;5016022.913;-0.001135996;0;0;0;0;2.708982409;0;1.570796163;1.140478307;3.801731717;-3.141592356;1.177386527;11.80173172;-14246.22937;2710.96731;0;0;86400.7;2163;0;0;696.8160726;;-14262.6546;-329.8533;4.394
800;6936092.702;256822.9095;0.042230036;0;0;0;1.570796162;1.13941471;614222.9648;954788.8339;5017449.187;-0.001135996;0;0;0;0;2.710300899;0;1.570796162;1.13941471;3.79921491;-3.141592356;1.176424832;11.79921491;-14279.23677;2717.24841;0;0;86400.8;2163;0;0;796.8151673;;-14295.63993;-329.4139;4.396
900;6936066.456;257529.7115;0.042579908;0;0;0;1.570796161;1.138352008;614495.0018;955060.8724;5018878.759;-0.001135996;0;0;0;0;2.711622621;0;1.570796161;1.138352008;3.796700222;-3.141592357;1.175464033;11.79670022;-14312.20037;2723.521174;0;0;86400.9;2163;0;0;896.8142598;;-14328.58132;-328.9743;4.398
1000;6936040.138;258236.5109;0.042929884;0;0;0;1.570796161;1.137290203;614767.6656;955333.5378;5020311.626;-0.001135996;0;0;0;0;2.712947571;0;1.570796161;1.137290203;3.794187655;-3.141592358;1.17450413;11.79418766;-14345.11997;2729.785566;0;0;86401;2163;0;0;996.8133503;;-14361.47875;-328.5345;4.402
1100;6936013.748;258943.3075;0.043279966;0;0;0;1.57079616;1.136229295;615040.9555;955606.8293;5021747.782;-0.001135996;0;0;0;0;2.714275745;0;1.57079616;1.136229295;3.791677212;-3.141592359;1.173545124;11.79167721;-14377.99548;2736.041568;0;0;86401.1;2163;0;0;1096.812439;;-14394.3322;-328.0943;4.402
1200;6935987.286;259650.1015;0.043630152;0;0;0;1.570796159;1.135169285;615314.8705;955880.7459;5023187.223;-0.001135996;0;0;0;0;2.715607142;0;1.570796159;1.135169285;3.789168895;-3.141592359;1.172587017;11.78916889;-14410.82718;2742.289232;0;0;86401.2;2163;0;0;1196.811525;;-14427.14163;-327.6541;4.406
1300;6935960.752;260356.8927;0.043980442;0;0;0;1.570796158;1.134110174;615589.4099;956155.2868;5024629.946;-0.001135996;0;0;0;0;2.716941758;0;1.570796158;1.134110174;3.786601884;-3.14159236;1.171629809;11.78660188;-14443.61471;2748.528491;0;0;86401.3;2163;0;0;1296.810609;;-14459.90704;-327.2135;4.406
1400;6935934.146;261063.6812;0.044330837;0;0;0;1.570796157;1.133051964;615864.5728;956430.4513;5026075.945;-0.001135996;0;0;0;0;2.718279591;0;1.570796157;1.133051964;3.78391593;-3.141592361;1.1706735;11.78391593;-14476.35832;2754.759394;0;0;86401.4;2163;0;0;1396.809691;;-14492.62839;-326.7729;4.41
1500;6935907.468;261770.4669;0.044681337;0;0;0;1.570796156;1.131994653;616140.3583;956706.2384;5027525.216;-0.001135996;0;0;0;0;2.719620639;0;1.570796156;1.131994653;3.781232262;-3.141592362;1.169718093;11.78123226;-14509.05782;2760.981902;0;0;86401.5;2163;0;0;1496.808771;;-14525.30568;-326.3319;4.411
1600;6935880.718;262477.25;0.045031941;0;0;0;1.570796155;1.130938245;616416.7657;956982.6474;5028977.755;-0.001135996;0;0;0;0;2.720964897;0;1.570796155;1.130938245;3.778550882;-3.141592362;1.168763586;11.77855088;-14541.71314;2767.196003;0;0;86401.6;2163;0;0;1596.807849;;-14557.93887;-325.8908;4.413
1700;6935853.896;263184.0302;0.04538265;0;0;0;1.570796154;1.129882738;616693.7941;957259.6774;5030433.557;-0.001135996;0;0;0;0;2.722312364;0;1.570796154;1.129882738;3.775871793;-3.141592363;1.167809983;11.77587179;-14574.32454;2773.401746;0;0;86401.7;2163;0;0;1696.806925;;-14590.52795;-325.4495;4.415
1800;6935827.002;263890.8078;0.045733464;0;0;0;1.570796153;1.128828135;616971.4426;957537.3275;5031892.618;-0.001135996;0;0;0;0;2.723663036;0;1.570796153;1.128828135;3.773194996;-3.141592364;1.166857282;11.773195;-14606.89166;2779.599063;0;0;86401.8;2163;0;0;1796.805999;;-14623.0729;-325.008;4.417
1900;6935800.036;264597.5825;0.046084382;0;0;0;1.570796153;1.127774436;617249.7104;957815.5969;5033354.934;-0.001135996;0;0;0;0;2.725016912;0;1.570796153;1.127774436;3.770520494;-3.141592365;1.165905485;11.77052049;-14639.41477;2785.788004;0;0;86401.9;2163;0;0;1896.805071;;-14655.5737;-324.5663;4.418
2000;6935772.998;265304.3545;0.046435405;0;0;0;1.570796152;1.126721642;617528.5967;958094.4848;5034820.5;-0.001135996;0;0;0;0;2.726373987;0;1.570796152;1.126721642;3.767848288;-3.141592365;1.164954593;11.76784829;-14671.89368;2791.968536;0;0;86402;2163;0;0;1996.804141;;-14688.03033;-324.1245;4.421
2100;6935745.888;266011.1238;0.046786532;0;0;0;1.570796151;1.125669753;617808.1006;958373.9903;5036289.311;-0.001135996;0;0;0;0;2.72773426;0;1.570796151;1.125669753;3.76517838;-3.141592366;1.164004607;11.76517838;-14704.32828;2798.140634;0;0;86402.1;2163;0;0;2096.803208;;-14720.44278;-323.6824;4.422
2200;6935718.705;266717.8902;0.047137764;0;0;0;1.57079615;1.12461877;618088.2213;958654.1126;5037761.364;-0.001135996;0;0;0;0;2.729097727;0;1.57079615;1.12461877;3.762510773;-3.141592367;1.163055526;11.76251077;-14736.71888;2804.30436;0;0;86402.2;2163;0;0;2196.802274;;-14752.81102;-323.2402;4.423
2300;6935691.451;267424.6538;0.047489101;0;0;0;1.570796149;1.123568694;618368.958;958934.8509;5039236.654;-0.001135996;0;0;0;0;2.730464387;0;1.570796149;1.123568694;3.759845468;-3.141592367;1.162107353;11.75984547;-14769.06512;2810.459646;0;0;86402.3;2163;0;0;2296.801338;;-14785.13504;-322.7979;4.426
