Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;Doppler;Drift;Jitter
500;6899266.254;-332146.4961;0.001612214;0;0;0;-1.570796322;1.003357121;617976.9794;958543.0561;5037177.758;-0.001135996;0;0;0;0;2.918567166;0;-1.570796322;1.003357121;3.149219775;4.30E-07;1.051462273;11.14921977;18504.11564;-3521.216128;0;0;86400.5;2163;0;0;496.8026445;;18489.55421;-289.889;-4.972000001
600;6899300.342;-331437.8189;0.001935372;0;0;0;-1.570796321;1.004354385;617625.1349;958191.21;5035328.794;-0.001135996;0;0;0;0;2.91672318;0;-1.570796321;1.004354385;3.159850893;4.31E-07;1.052356819;11.15985089;18475.15129;-3515.704395;0;0;86400.6;2163;0;0;596.8038182;;18460.56531;-290.3862;-4.975999999
700;6899334.357;-330729.1383;0.002258616;0;0;0;-1.57079632;1.005352726;617273.842;957839.9155;5033482.729;-0.001135996;0;0;0;0;2.914882426;0;-1.57079632;1.005352726;3.170493498;4.32E-07;1.053252443;11.1704935;18446.13747;-3510.183248;0;0;86400.7;2163;0;0;696.80499;;18431.52669;-290.8838;-4.977000001
800;6899368.298;-330020.4542;0.002581945;0;0;0;-1.570796319;1.006352145;616923.1017;957489.1736;5031639.568;-0.001135996;0;0;0;0;2.913044906;0;-1.570796319;1.006352145;3.18114759;4.33E-07;1.054149144;11.18114759;18417.07373;-3504.652602;0;0;86400.8;2163;0;0;796.8061599;;18402.43831;-291.3815;-4.982
900;6899402.168;-329311.7666;0.00290536;0;0;0;-1.570796318;1.007352641;616572.9149;957138.9853;5029799.316;-0.001135996;0;0;0;0;2.911210624;0;-1.570796318;1.007352641;3.191813172;4.34E-07;1.055046923;11.19181317;18387.96039;-3499.112519;0;0;86400.9;2163;0;0;896.807328;;18373.30016;-291.8797;-4.985
1000;6899435.964;-328603.0755;0.003228859;0;0;0;-1.570796317;1.008354216;616223.2827;956789.3514;5027961.978;-0.001135996;0;0;0;0;2.909379582;0;-1.570796317;1.008354216;3.202490245;4.36E-07;1.05594578;11.20249024;18358.79718;-3493.562944;0;0;86401;2163;0;0;996.8084943;;18344.11219;-292.3782;-4.989
1100;6899469.687;-327894.381;0.003552444;0;0;0;-1.570796316;1.009356868;615874.2058;956440.273;5026127.558;-0.001135996;0;0;0;0;2.907551785;0;-1.570796316;1.009356868;3.213178809;4.37E-07;1.056845714;11.21317881;18329.58398;-3488.003856;0;0;86401.1;2163;0;0;1096.809659;;18314.87437;-292.8771;-4.992
1200;6899503.338;-327185.6831;0.003876114;0;0;0;-1.570796315;1.010360599;615525.6853;956091.751;5024296.063;-0.001135996;0;0;0;0;2.905727235;0;-1.570796315;1.010360599;3.223878867;4.38E-07;1.057746727;11.22387887;18300.32116;-3482.435326;0;0;86401.2;2163;0;0;1196.810821;;18285.58666;-293.3763;-4.994
1300;6899536.916;-326476.9817;0.00419987;0;0;0;-1.570796314;1.011365407;615177.7222;955743.7863;5022467.496;-0.001135996;0;0;0;0;2.903905934;0;-1.570796314;1.011365407;3.234590419;4.39E-07;1.058648819;11.23459042;18271.00825;-3476.857265;0;0;86401.3;2163;0;0;1296.811982;;18256.24903;-293.8757;-4.999
1400;6899570.422;-325768.2769;0.00452371;0;0;0;-1.570796313;1.012371295;614830.3173;955396.3798;5020641.863;-0.001135996;0;0;0;0;2.902087888;0;-1.570796313;1.012371295;3.245148303;4.40E-07;1.059551988;11.2451483;18241.64556;-3471.269732;0;0;86401.4;2163;0;0;1396.813141;;18226.86146;-294.3756;-5.001
1500;6899603.854;-325059.5686;0.004847636;0;0;0;-1.570796312;1.01337826;614483.4717;955049.5326;5018819.168;-0.001135996;0;0;0;0;2.900273098;0;-1.570796312;1.01337826;3.253812426;4.41E-07;1.060456236;11.25381243;18212.23286;-3465.672681;0;0;86401.5;2163;0;0;1496.814298;;18197.4239;-294.8757;-5.005
1600;6899637.214;-324350.857;0.005171647;0;0;0;-1.570796311;1.014386304;614137.1862;954703.2456;5016999.418;-0.001135996;0;0;0;0;2.898461567;0;-1.570796311;1.014386304;3.262485827;4.42E-07;1.061361563;11.26248583;18182.77;-3460.066085;0;0;86401.6;2163;0;0;1596.815453;;18167.93633;-295.3762;-5.007
1700;6899670.501;-323642.1419;0.005495743;0;0;0;-1.57079631;1.015395427;613791.4619;954357.5197;5015182.616;-0.001135996;0;0;0;0;2.8966533;0;-1.57079631;1.015395427;3.27116851;4.44E-07;1.062267968;11.27116851;18153.25733;-3454.450011;0;0;86401.7;2163;0;0;1696.816606;;18138.39871;-295.8769;-5.011
1800;6899703.715;-322933.4235;0.005819925;0;0;0;-1.570796309;1.016405628;613446.2996;954012.3559;5013368.768;-0.001135996;0;0;0;0;2.894848298;0;-1.570796309;1.016405628;3.279860473;4.45E-07;1.063175452;11.27986047;18123.69444;-3448.824379;0;0;86401.8;2163;0;0;1796.817757;;18108.81102;-296.378;-5.014
1900;6899736.856;-322224.7016;0.006144191;0;0;0;-1.570796308;1.017416908;613101.7004;953667.7552;5011557.879;-0.001135996;0;0;0;0;2.893046566;0;-1.570796308;1.017416908;3.288561719;4.46E-07;1.064084014;11.28856172;18094.0816;-3443.189244;0;0;86401.9;2163;0;0;1896.818907;;18079.17322;-296.8794;-5.017
2000;6899769.925;-321515.9763;0.006468543;0;0;0;-1.570796307;1.018429267;612757.6652;953323.7184;5009749.953;-0.001135996;0;0;0;0;2.891248107;0;-1.570796307;1.018429267;3.297272246;4.47E-07;1.064993656;11.29727225;18064.41859;-3437.54456;0;0;86402;2163;0;0;1996.820054;;18049.48528;-297.3811;-5.019
2100;6899802.921;-320807.2477;0.00679298;0;0;0;-1.570796306;1.019442705;612414.1949;952980.2466;5007944.997;-0.001135996;0;0;0;0;2.889452923;0;-1.570796306;1.019442705;3.305992055;4.48E-07;1.065904376;11.30599206;18034.70528;-3431.890305;0;0;86402.1;2163;0;0;2096.8212;;18019.74717;-297.883;-5.023
2200;6899835.844;-320098.5157;0.007117503;0;0;0;-1.570796305;1.020457222;612071.2905;952637.3407;5006143.014;-0.001135996;0;0;0;0;2.887661018;0;-1.570796305;1.020457222;3.314721148;4.49E-07;1.066816175;11.31472115;18004.94201;-3426.226543;0;0;86402.2;2163;0;0;2196.822344;;17989.95887;-298.3853;-5.026
2300;6899868.694;-319389.7804;0.00744211;0;0;0;-1.570796303;1.021472817;611728.953;952295.0016;5004344.01;-0.001135996;0;0;0;0;2.885872395;0;-1.570796303;1.021472817;3.323459523;4.51E-07;1.067729053;11.32345952;17975.12834;-3420.553191;0;0;86402.3;2163;0;0;2296.823486;;17960.12034;-298.8879;-5.028
2400;6899901.472;-318681.0417;0.007766803;0;0;0;-1.570796302;1.022489491;611387.1833;951953.2303;5002547.99;-0.001135996;0;0;0;0;2.884087057;0;-1.570796302;1.022489491;3.332207182;4.52E-07;1.06864301;11.33220718;17945.26459;-3414.870308;0;0;86402.4;2163;0;0;2396.824626;;17930.23155;-299.3907;-5.031
2500;6899934.177;-317972.2996;0.008091581;0;0;0;-1.570796301;1.023507245;611045.9823;951612.0279;5000754.959;-0.001135996;0;0;0;0;2.882305008;0;-1.570796301;1.023507245;3.340964125;4.53E-07;1.069558046;11.34096412;17915.35052;-3409.177849;0;0;86402.5;2163;0;0;2496.825764;;17900.29248;-299.8938;-5.035
2600;6899966.809;-317263.5542;0.008416444;0;0;0;-1.5707963;1.024526077;610705.3511;951271.3951;4998964.921;-0.001135996;0;0;0;0;2.88052625;0;-1.5707963;1.024526077;3.34973035;4.54E-07;1.070474161;11.34973035;17885.38599;-3403.47579;0;0;86402.6;2163;0;0;2596.8269;;17870.3031;-300.3973;-5.036
2700;6899999.368;-316554.8055;0.008741392;0;0;0;-1.570796299;1.025545988;610365.2905;950931.333;4997177.883;-0.001135996;0;0;0;0;2.878750788;0;-1.570796299;1.025545988;3.358505859;4.55E-07;1.071391354;11.35850586;17855.37138;-3397.764199;0;0;86402.7;2163;0;0;2696.828035;;17840.26337;-300.9009;-5.039
