Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;Doppler
500;8559756.47;2486730.908;-187807.1922;0;0;0;1.646176954;0.718723541;3313386.692;3479382.414;18284278;-0.00055369;0;0;0;0;3.733084374;0;1.646176954;0.718723541;0.174158979;-2.091240062;1.002218003;8.174158979;-7703.032432;1465.838333;0;0;86400.5;2163;0;0;488.3940295;;7705.038105
600;8559682.956;2487032.76;-187250.1331;0;0;0;1.645945121;0.718655356;3313533.314;3479529.037;18285048.5;-0.00055369;0;0;0;0;3.733373538;0;1.645945121;0.718655356;0.173592223;-2.091462486;1.002180026;8.173592223;-7707.138324;1466.619659;0;0;86400.6;2163;0;0;588.3935405;;7709.189583
700;8559609.398;2487334.6;-186693.073;0;0;0;1.645713335;0.718587143;3313680.015;3479675.738;18285819.42;-0.00055369;0;0;0;0;3.733662883;0;1.645713335;0.718587143;0.173025235;-2.091684865;1.002142036;8.173025235;-7711.243653;1467.400877;0;0;86400.7;2163;0;0;688.3930511;;7713.23596
800;8559535.797;2487636.427;-186136.0118;0;0;0;1.645481598;0.718518901;3313826.793;3479822.517;18286590.75;-0.00055369;0;0;0;0;3.733952407;0;1.645481598;0.718518901;0.172458016;-2.091907193;1.002104033;8.172458016;-7715.348448;1468.181993;0;0;86400.8;2163;0;0;788.3925615;;7717.387438
900;8559462.153;2487938.24;-185578.9496;0;0;0;1.645249909;0.718450632;3313973.65;3479969.375;18287362.49;-0.00055369;0;0;0;0;3.734242112;0;1.645249909;0.718450632;0.171890565;-2.092129475;1.002066015;8.171890565;-7719.452598;1468.962987;0;0;86400.9;2163;0;0;888.3920716;;7721.433815
1000;8559388.465;2488240.042;-185021.8864;0;0;0;1.645018268;0.718382336;3314120.584;3480116.31;18288134.64;-0.00055369;0;0;0;0;3.734531997;0;1.645018268;0.718382336;0.171322883;-2.092351711;1.002027985;8.171322883;-7723.556286;1469.743893;0;0;86401;2163;0;0;988.3915815;;7725.585293
1100;8559314.734;2488541.83;-184464.8221;0;0;0;1.644786675;0.718314011;3314267.597;3480263.323;18288907.2;-0.00055369;0;0;0;0;3.734822063;0;1.644786675;0.718314011;0.170754969;-2.092573897;1.001989941;8.170754969;-7727.659322;1470.524675;0;0;86401.1;2163;0;0;1088.391091;;7729.684221
1200;8559240.96;2488843.606;-183907.7567;0;0;0;1.644555131;0.718245658;3314414.688;3480410.415;18289680.18;-0.00055369;0;0;0;0;3.735112309;0;1.644555131;0.718245658;0.170186825;-2.092796037;1.001951884;8.170186825;-7731.761795;1471.305349;0;0;86401.2;2163;0;0;1188.3906;;7733.783149
1300;8559167.143;2489145.368;-183350.6904;0;0;0;1.644323634;0.718177278;3314561.857;3480557.584;18290453.56;-0.00055369;0;0;0;0;3.735402735;0;1.644323634;0.718177278;0.16961845;-2.093018126;1.001913813;8.16961845;-7735.863711;1472.085918;0;0;86401.3;2163;0;0;1288.39011;;7737.829526
1400;8559093.282;2489447.118;-182793.623;0;0;0;1.644092186;0.71810887;3314709.103;3480704.832;18291227.35;-0.00055369;0;0;0;0;3.735693341;0;1.644092186;0.71810887;0.169049844;-2.093240169;1.001875729;8.169049844;-7739.96501;1472.866369;0;0;86401.4;2163;0;0;1388.389618;;7741.981004
1500;8559019.378;2489748.856;-182236.5545;0;0;0;1.643860786;0.718040434;3314856.428;3480852.158;18292001.55;-0.00055369;0;0;0;0;3.735984128;0;1.643860786;0.718040434;0.168481007;-2.093462165;1.001837631;8.168481007;-7744.065822;1473.646728;0;0;86401.5;2163;0;0;1488.389127;;7746.079932
1600;8558945.431;2490050.58;-181679.4851;0;0;0;1.643629434;0.717971971;3315003.831;3480999.561;18292776.16;-0.00055369;0;0;0;0;3.736275095;0;1.643629434;0.717971971;0.16791194;-2.093684113;1.00179952;8.16791194;-7748.165981;1474.426962;0;0;86401.6;2163;0;0;1588.388635;;7750.178859
1700;8558871.44;2490352.292;-181122.4146;0;0;0;1.643398131;0.71790348;3315151.312;3481147.043;18293551.18;-0.00055369;0;0;0;0;3.736566243;0;1.643398131;0.71790348;0.167342642;-2.093906014;1.001761396;8.167342642;-7752.265568;1475.207087;0;0;86401.7;2163;0;0;1688.388143;;7754.277787
