Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;Doppler
500;22628704.2;-7786096.463;17405142.65;0;0;0;-0.420643495;0.705812549;25052819.47;23510601.72;123549045.9;0.005144297;0;0;0;0;3.788962008;0;-0.420643495;0.705812549;0.065163303;2.612325258;1.406004201;8.065163303;-3495.04616;665.0851704;0;0;86400.5;2163;0;0;421.5770741;;3495.032127
600;22628443.3;-7786191.251;17405439.56;0;0;0;-0.420641674;0.705796604;25052885.98;23510668.23;123549395.4;0.005144297;0;0;0;0;3.78903244;0;-0.420641674;0.705796604;0.065028024;2.612322364;1.406001942;8.065028024;-3495.08594;665.0927402;0;0;86400.6;2163;0;0;521.5768522;;3495.072065
700;22628182.4;-7786286.035;17405736.48;0;0;0;-0.420639853;0.705780658;25052952.49;23510734.74;123549744.9;0.005144297;0;0;0;0;3.789102875;0;-0.420639853;0.705780658;0.064892746;2.612319463;1.405999682;8.064892746;-3495.125729;665.1003119;0;0;86400.7;2163;0;0;621.5766304;;3495.112003
800;22627921.5;-7786380.815;17406033.39;0;0;0;-0.420638032;0.705764713;25053019;23510801.25;123550094.5;0.005144297;0;0;0;0;3.789173314;0;-0.420638032;0.705764713;0.064757469;2.612316568;1.405997423;8.064757469;-3495.165499;665.1078798;0;0;86400.8;2163;0;0;721.5764085;;3495.151942
900;22627660.59;-7786475.59;17406330.29;0;0;0;-0.420636211;0.705748768;25053085.51;23510867.76;123550444;0.005144297;0;0;0;0;3.789243756;0;-0.420636211;0.705748768;0.064622192;2.612313677;1.405995163;8.064622192;-3495.205278;665.1154496;0;0;86400.9;2163;0;0;821.5761867;;3495.191355
1000;22627399.67;-7786570.36;17406627.2;0;0;0;-0.42063439;0.705732823;25053152.02;23510934.27;123550793.5;0.005144297;0;0;0;0;3.789314201;0;-0.42063439;0.705732823;0.064486916;2.612310771;1.405992904;8.064486916;-3495.245068;665.1230212;0;0;86401;2163;0;0;921.5759648;;3495.231293
1100;22627138.76;-7786665.126;17406924.1;0;0;0;-0.420632568;0.705716878;25053218.53;23511000.79;123551143;0.005144297;0;0;0;0;3.789384649;0;-0.420632568;0.705716878;0.064351641;2.612307876;1.405990645;8.064351641;-3495.284818;665.1305854;0;0;86401.1;2163;0;0;1021.575743;;3495.270706
1200;22626877.84;-7786759.887;17407221;0;0;0;-0.420630747;0.705700933;25053285.04;23511067.3;123551492.6;0.005144297;0;0;0;0;3.789455101;0;-0.420630747;0.705700933;0.064216366;2.612304975;1.405988386;8.064216366;-3495.324597;665.1381552;0;0;86401.2;2163;0;0;1121.575521;;3495.310644
1300;22626616.91;-7786854.643;17407517.89;0;0;0;-0.420628925;0.705684988;25053351.56;23511133.81;123551842.1;0.005144297;0;0;0;0;3.789525555;0;-0.420628925;0.705684988;0.064081092;2.612302081;1.405986126;8.064081092;-3495.364386;665.1457269;0;0;86401.3;2163;0;0;1221.575299;;3495.350582
1400;22626355.99;-7786949.395;17407814.79;0;0;0;-0.420627104;0.705669043;25053418.07;23511200.33;123552191.6;0.005144297;0;0;0;0;3.789596013;0;-0.420627104;0.705669043;0.063945819;2.612299189;1.405983867;8.063945819;-3495.404117;665.1532874;0;0;86401.4;2163;0;0;1321.575077;;3495.39052
