Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;Doppler
500;7477589.679;1226510.454;2012394.219;0;0;0;0.54735965;0.436506948;2600546.151;2532107.368;13306314.03;0.000228307;0;0;0;0;5.789313757;0;0.54735965;0.436506948;-2.221775585;3.094014174;0.741821574;5.778224415;-26441.62045;5031.67307;0;0;86400.5;2163;0;0;491.553799;;26442.60277
600;7477384.515;1226838.415;2012956.621;0;0;0;0.547354285;0.436329666;2601049.337;2532610.556;13308958.3;0.000228307;0;0;0;0;5.791484192;0;0.547354285;0.436329666;-2.223236415;3.094007187;0.741731342;5.776763585;-26443.80741;5032.089235;0;0;86400.6;2163;0;0;591.5521205;;26444.80989
700;7477179.294;1227166.369;2013519.006;0;0;0;0.547348924;0.436152436;2601552.565;2533113.786;13311602.79;0.000228307;0;0;0;0;5.793655791;0;0.547348924;0.436152436;-2.224718253;3.0940002;0.741641161;5.775281747;-26445.99285;5032.505111;0;0;86400.7;2163;0;0;691.5504419;;26446.96445
800;7476974.017;1227494.316;2014081.375;0;0;0;0.547343568;0.435975257;2602055.834;2533617.057;13314247.5;0.000228307;0;0;0;0;5.795828555;0;0.547343568;0.435975257;-2.226199659;3.093993219;0.741551032;5.773800341;-26448.17708;5032.920756;0;0;86400.8;2163;0;0;791.5487632;;26449.17157
900;7476768.683;1227822.256;2014643.727;0;0;0;0.547338215;0.435798131;2602559.145;2534120.37;13316892.43;0.000228307;0;0;0;0;5.798002485;0;0.547338215;0.435798131;-2.227680633;3.093986241;0.741460955;5.772319367;-26450.35956;5033.336068;0;0;86400.9;2163;0;0;891.5470843;;26451.32613
1000;7476563.292;1228150.189;2015206.062;0;0;0;0.547332866;0.435621055;2603062.497;2534623.725;13319537.57;0.000228307;0;0;0;0;5.800177581;0;0.547332866;0.435621055;-2.229161175;3.093979264;0.74137093;5.770838825;-26452.54067;5033.751119;0;0;86401;2163;0;0;991.5454053;;26453.53325
1100;7476357.845;1228478.114;2015768.381;0;0;0;0.547327522;0.435444032;2603565.891;2535127.121;13322182.94;0.000228307;0;0;0;0;5.802353845;0;0.547327522;0.435444032;-2.230641285;3.093972294;0.741280956;5.769358715;-26454.7203;5034.165888;0;0;86401.1;2163;0;0;1091.543726;;26455.68781
1200;7476152.341;1228806.033;2016330.683;0;0;0;0.547322181;0.43526706;2604069.326;2535630.558;13324828.52;0.000228307;0;0;0;0;5.804531276;0;0.547322181;0.43526706;-2.232120964;3.093965325;0.741191034;5.767879036;-26456.89838;5034.580364;0;0;86401.2;2163;0;0;1191.542047;;26457.89493
1300;7475946.78;1229133.944;2016892.968;0;0;0;0.547316845;0.43509014;2604572.803;2536134.037;13327474.32;0.000228307;0;0;0;0;5.806709877;0;0.547316845;0.43509014;-2.233600212;3.093958361;0.741101163;5.766399788;-26459.07527;5034.994612;0;0;86401.3;2163;0;0;1291.540367;;26460.04949
1400;7475741.162;1229461.848;2017455.237;0;0;0;0.547311512;0.434913271;2605076.321;2536637.557;13330120.33;0.000228307;0;0;0;0;5.808889648;0;0.547311512;0.434913271;-2.235079028;3.093951401;0.741011344;5.764920972;-26461.25041;5035.408527;0;0;86401.4;2163;0;0;1391.538688;;26462.20406
