Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;Doppler
500;8910715.431;-25664.36005;1291199.578;0;0;0;-0.019873753;1.099230699;2842850.438;1101211.127;5786903.53;0.005809493;0;0;0;0;2.763386433;0;-0.019873753;1.099230699;3.693057283;1.885796553;1.243161268;11.69305728;-3505.412564;667.0578314;0;0;86400.5;2163;0;0;496.3267551;;3507.643529
600;8910685.6;-25100.88082;1291416.111;0;0;0;-0.019434263;1.099161563;2842917.186;1101277.877;5787254.303;0.005809493;0;0;0;0;2.76348342;0;-0.019434263;1.099161563;3.692836643;1.886230451;1.243115185;11.69283664;-3510.042489;667.9388769;0;0;86400.6;2163;0;0;596.3265324;;3512.27332
700;8910655.729;-24537.40103;1291632.637;0;0;0;-0.018994913;1.099092347;2842984.023;1101344.715;5787605.539;0.005809493;0;0;0;0;2.763580538;0;-0.018994913;1.099092347;3.69261575;1.886664209;1.243069051;11.69261575;-3514.6721;668.8198627;0;0;86400.7;2163;0;0;696.3263095;;3516.902796
800;8910625.819;-23973.92069;1291849.155;0;0;0;-0.018555703;1.099023053;2843050.947;1101411.641;5787957.238;0.005809493;0;0;0;0;2.763677787;0;-0.018555703;1.099023053;3.692394605;1.887097828;1.243022865;11.69239461;-3519.301366;669.7007826;0;0;86400.8;2163;0;0;796.3260862;;3521.531799
900;8910595.868;-23410.43978;1292065.667;0;0;0;-0.018116632;1.098953679;2843117.96;1101478.655;5788309.399;0.005809493;0;0;0;0;2.763775167;0;-0.018116632;1.098953679;3.692173209;1.887531307;1.242976627;11.69217321;-3523.930267;670.5816331;0;0;86400.9;2163;0;0;896.3258627;;3526.160592
1000;8910565.878;-22846.95832;1292282.172;0;0;0;-0.017677701;1.098884227;2843185.06;1101545.757;5788662.024;0.005809493;0;0;0;0;2.763872678;0;-0.017677701;1.098884227;3.69195156;1.887964646;1.242930337;11.69195156;-3528.558845;671.4624224;0;0;86401;2163;0;0;996.3256389;;3530.788912
1100;8910535.847;-22283.4763;1292498.669;0;0;0;-0.01723891;1.098814696;2843252.249;1101612.947;5789015.111;0.005809493;0;0;0;0;2.76397032;0;-0.01723891;1.098814696;3.69172966;1.888397844;1.242883996;11.69172966;-3533.187028;672.3431362;0;0;86401.1;2163;0;0;1096.325415;;3535.416969
1200;8910505.776;-21719.99374;1292715.16;0;0;0;-0.01680026;1.098745085;2843319.526;1101680.226;5789368.661;0.005809493;0;0;0;0;2.764068093;0;-0.01680026;1.098745085;3.691507508;1.888830903;1.242837603;11.69150751;-3537.814907;673.2237923;0;0;86401.2;2163;0;0;1196.32519;;3540.044659
1300;8910475.666;-21156.51063;1292931.643;0;0;0;-0.016361749;1.098675397;2843386.89;1101747.592;5789722.674;0.005809493;0;0;0;0;2.764165997;0;-0.016361749;1.098675397;3.691285104;1.889263821;1.242791158;11.6912851;-3542.442435;674.1043817;0;0;86401.3;2163;0;0;1296.324966;;3544.67198
1400;8910445.516;-20593.02697;1293148.119;0;0;0;-0.015923378;1.098605629;2843454.343;1101815.047;5790077.149;0.005809493;0;0;0;0;2.764264031;0;-0.015923378;1.098605629;3.69106245;1.889696599;1.242744662;11.69106245;-3547.069592;674.9849004;0;0;86401.4;2163;0;0;1396.324741;;3549.298986
1500;8910415.325;-20029.54277;1293364.589;0;0;0;-0.015485148;1.098535783;2843521.884;1101882.589;5790432.088;0.005809493;0;0;0;0;2.764362197;0;-0.015485148;1.098535783;3.690839544;1.890129237;1.242698115;11.69083954;-3551.696424;675.8653572;0;0;86401.5;2163;0;0;1496.324515;;3553.925625
1600;8910385.095;-19466.05803;1293581.051;0;0;0;-0.015047058;1.098465858;2843589.513;1101950.22;5790787.489;0.005809493;0;0;0;0;2.764460494;0;-0.015047058;1.098465858;3.690616388;1.890561733;1.242651516;11.69061639;-3556.322865;676.7457396;0;0;86401.6;2163;0;0;1596.32429;;3558.551895
1700;8910354.824;-18902.57275;1293797.506;0;0;0;-0.014609108;1.098395854;2843657.23;1102017.938;5791143.352;0.005809493;0;0;0;0;2.764558921;0;-0.014609108;1.098395854;3.69039298;1.890994089;1.242604865;11.69039298;-3560.949005;677.6260649;0;0;86401.7;2163;0;0;1696.324064;;3563.17785
1800;8910324.514;-18339.08693;1294013.954;0;0;0;-0.014171299;1.098325772;2843725.035;1102085.745;5791499.678;0.005809493;0;0;0;0;2.76465748;0;-0.014171299;1.098325772;3.690169322;1.891426305;1.242558164;11.69016932;-3565.574764;678.5063174;0;0;86401.8;2163;0;0;1796.323838;;3567.803438
