Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;;Doppler
50700;8626697.384;1349276.649;-1784978.908;0;0;0;2.494322271;0.787848687;3172175.705;3253254.681;17095968.74;-0.000270439;0;0;0;0;3.469105664;0;2.494322271;0.787848687;0.743703338;-1.269669513;1.041632901;8.743703338;6305.951863;-1199.98274;0;0;86450.7;2163;48;0;50689.14831;;;-6303.730347
50800;8626757.723;1349609.503;-1784438.003;0;0;0;2.494057805;0.787913659;3172055.749;3253134.725;17095338.36;-0.000270439;0;0;0;0;3.46888265;0;2.494057805;0.787913659;0.744246571;-1.269924048;1.041671116;8.744246571;6301.544586;-1199.144064;0;0;86450.8;2163;48;0;50789.14871;;;-6299.368667
50900;8626818.019;1349942.348;-1783897.087;0;0;0;2.493793284;0.787978594;3171935.876;3253014.852;17094708.43;-0.000270439;0;0;0;0;3.468659807;0;2.493793284;0.787978594;0.744789497;-1.270178639;1.04170931;8.744789497;6297.136817;-1198.305293;0;0;86450.9;2163;48;0;50889.14911;;;-6294.901887
51000;8626878.271;1350275.185;-1783356.162;0;0;0;2.493528709;0.788043492;3171816.088;3252895.064;17094078.94;-0.000270439;0;0;0;0;3.468437132;0;2.493528709;0.788043492;0.745332116;-1.270433285;1.041747485;8.745332116;6292.728523;-1197.466423;0;0;86451;2163;48;0;50989.14951;;;-6290.540208
51100;8626938.48;1350608.014;-1782815.226;0;0;0;2.493264079;0.788108353;3171696.383;3252775.359;17093449.88;-0.000270439;0;0;0;0;3.468214627;0;2.493264079;0.788108353;0.745874427;-1.270687985;1.041785639;8.745874427;6288.319614;-1196.627435;0;0;86451.1;2163;48;0;51089.14991;;;-6286.125978
51200;8626998.645;1350940.834;-1782274.281;0;0;0;2.492999396;0.788173177;3171576.762;3252655.738;17092821.27;-0.000270439;0;0;0;0;3.467992291;0;2.492999396;0.788173177;0.746416429;-1.270942741;1.041823774;8.746416429;6283.910249;-1195.788361;0;0;86451.2;2163;48;0;51189.15031;;;-6281.659198
51300;8627058.768;1351273.646;-1781733.325;0;0;0;2.492734658;0.788237965;3171457.226;3252536.201;17092193.1;-0.000270439;0;0;0;0;3.467770125;0;2.492734658;0.788237965;0.746958124;-1.27119755;1.041861888;8.746958124;6279.500235;-1194.949163;0;0;86451.3;2163;48;0;51289.15071;;;-6277.297518
51400;8627118.847;1351606.449;-1781192.36;0;0;0;2.492469866;0.788302715;3171337.773;3252416.748;17091565.37;-0.000270439;0;0;0;0;3.467548127;0;2.492469866;0.788302715;0.747499511;-1.271452414;1.041899982;8.747499511;6275.089729;-1194.109872;0;0;86451.4;2163;48;0;51389.15111;;;-6272.883288
51500;8627178.883;1351939.244;-1780651.384;0;0;0;2.49220502;0.788367429;3171218.404;3252297.379;17090938.08;-0.000270439;0;0;0;0;3.467326299;0;2.49220502;0.788367429;0.748040589;-1.271707334;1.041938057;8.748040589;6270.67871;-1193.270483;0;0;86451.5;2163;48;0;51489.1515;;;-6268.469059
51600;8627238.875;1352272.031;-1780110.399;0;0;0;2.49194012;0.788432106;3171099.119;3252178.094;17090311.24;-0.000270439;0;0;0;0;3.467104641;0;2.49194012;0.788432106;0.748581358;-1.271962307;1.041976111;8.748581358;6266.267076;-1192.430977;0;0;86451.6;2163;48;0;51589.1519;;;-6264.107379
51700;8627298.825;1352604.809;-1779569.403;0;0;0;2.491675166;0.788496746;3170979.917;3252058.893;17089684.83;-0.000270439;0;0;0;0;3.466883151;0;2.491675166;0.788496746;0.749121819;-1.272217336;1.042014145;8.749121819;6261.85498;-1191.591383;0;0;86451.7;2163;48;0;51689.1523;;;-6259.640599
51800;8627358.731;1352937.579;-1779028.397;0;0;0;2.491410157;0.788561349;3170860.8;3251939.776;17089058.87;-0.000270439;0;0;0;0;3.466661831;0;2.491410157;0.788561349;0.749661971;-1.272472418;1.042052159;8.749661971;6257.442247;-1190.751668;0;0;86451.8;2163;48;0;51789.1527;;;-6255.226369
51900;8627418.593;1353270.34;-1778487.381;0;0;0;2.491145095;0.788625915;3170741.767;3251820.743;17088433.34;-0.000270439;0;0;0;0;3.46644068;0;2.491145095;0.788625915;0.750201814;-1.272727556;1.042090153;8.750201814;6253.029029;-1189.91186;0;0;86451.9;2163;48;0;51889.15309;;;-6250.81214
52000;8627478.413;1353603.093;-1777946.356;0;0;0;2.490879979;0.788690444;3170622.818;3251701.794;17087808.26;-0.000270439;0;0;0;0;3.466219698;0;2.490879979;0.788690444;0.750741347;-1.272982748;1.042128127;8.750741347;6248.615271;-1189.07195;0;0;86452;2163;48;0;51989.15349;;;-6246.39791
52100;8627538.189;1353935.837;-1777405.32;0;0;0;2.490614808;0.788754936;3170503.953;3251582.929;17087183.62;-0.000270439;0;0;0;0;3.465998885;0;2.490614808;0.788754936;0.751280572;-1.273237994;1.042166081;8.751280572;6244.200927;-1188.231928;0;0;86452.1;2163;48;0;52089.15389;;;-6241.98368
52200;8627597.922;1354268.573;-1776864.274;0;0;0;2.490349583;0.788819392;3170385.172;3251464.147;17086559.42;-0.000270439;0;0;0;0;3.465778241;0;2.490349583;0.788819392;0.751819486;-1.273493295;1.042204014;8.751819486;6239.786096;-1187.391814;0;0;86452.2;2163;48;0;52189.15428;;;-6237.622
52300;8627657.611;1354601.301;-1776323.218;0;0;0;2.490084305;0.78888381;3170266.474;3251345.45;17085935.66;-0.000270439;0;0;0;0;3.465557767;0;2.490084305;0.78888381;0.752358091;-1.27374865;1.042241927;8.752358091;6235.370644;-1186.551581;0;0;86452.3;2163;48;0;52289.15468;;;-6233.15522
52400;8627717.258;1354934.02;-1775782.153;0;0;0;2.489818972;0.78894819;3170147.861;3251226.837;17085312.35;-0.000270439;0;0;0;0;3.465337462;0;2.489818972;0.78894819;0.752896386;-1.274004059;1.042279821;8.752896386;6230.954718;-1185.711258;0;0;86452.4;2163;48;0;52389.15507;;;-6228.740991
52500;8627776.861;1355266.731;-1775241.077;0;0;0;2.489553586;0.789012534;3170029.332;3251108.308;17084689.47;-0.000270439;0;0;0;0;3.465117325;0;2.489553586;0.789012534;0.753434371;-1.274259525;1.042317694;8.753434371;6226.538241;-1184.870831;0;0;86452.5;2163;48;0;52489.15547;;;-6224.326761
52600;8627836.421;1355599.433;-1774699.991;0;0;0;2.489288145;0.789076841;3169910.887;3250989.863;17084067.04;-0.000270439;0;0;0;0;3.464897358;0;2.489288145;0.789076841;0.753972045;-1.274515043;1.042355546;8.753972045;6222.121175;-1184.030291;0;0;86452.6;2163;48;0;52589.15587;;;-6219.912531
52700;8627895.937;1355932.127;-1774158.895;0;0;0;2.489022651;0.789141111;3169792.526;3250871.502;17083445.05;-0.000270439;0;0;0;0;3.46467756;0;2.489022651;0.789141111;0.754509409;-1.274770616;1.042393379;8.754509409;6217.703652;-1183.189664;0;0;86452.7;2163;48;0;52689.15626;;;-6215.498301
52800;8627955.41;1356264.813;-1773617.79;0;0;0;2.488757103;0.789205343;3169674.249;3250753.225;17082823.5;-0.000270439;0;0;0;0;3.464457931;0;2.488757103;0.789205343;0.755046463;-1.275026243;1.042431191;8.755046463;6213.285477;-1182.348914;0;0;86452.8;2163;48;0;52789.15665;;;-6211.084071
52900;8628014.84;1356597.49;-1773076.674;0;0;0;2.488491501;0.789269538;3169556.056;3250635.032;17082202.39;-0.000270439;0;0;0;0;3.464238471;0;2.488491501;0.789269538;0.755583206;-1.275281925;1.042468983;8.755583206;6208.866839;-1181.508075;0;0;86452.9;2163;48;0;52889.15705;;;-6206.617291
53000;8628074.227;1356930.158;-1772535.548;0;0;0;2.488225845;0.789333697;3169437.948;3250516.923;17081581.72;-0.000270439;0;0;0;0;3.464019181;0;2.488225845;0.789333697;0.756119637;-1.275537662;1.042506755;8.756119637;6204.447666;-1180.667134;0;0;86453;2163;48;0;52989.15744;;;-6202.255612
53100;8628133.57;1357262.818;-1771994.412;0;0;0;2.487960135;0.789397817;3169319.923;3250398.899;17080961.5;-0.000270439;0;0;0;0;3.463800059;0;2.487960135;0.789397817;0.756655758;-1.275793453;1.042544506;8.756655758;6200.027892;-1179.826079;0;0;86453.1;2163;48;0;53089.15784;;;-6197.841382
53200;8628192.87;1357595.47;-1771453.267;0;0;0;2.487694371;0.789461901;3169201.982;3250280.958;17080341.72;-0.000270439;0;0;0;0;3.463581106;0;2.487694371;0.789461901;0.757191568;-1.276049298;1.042582238;8.757191568;6195.607652;-1178.984935;0;0;86453.2;2163;48;0;53189.15823;;;-6193.374602
53300;8628252.127;1357928.113;-1770912.111;0;0;0;2.487428553;0.789525948;3169084.126;3250163.102;17079722.38;-0.000270439;0;0;0;0;3.463362322;0;2.487428553;0.789525948;0.757727066;-1.276305197;1.042619948;8.757727066;6191.186788;-1178.143673;0;0;86453.3;2163;48;0;53289.15862;;;-6188.960372
53400;8628311.341;1358260.748;-1770370.945;0;0;0;2.487162682;0.789589957;3168966.354;3250045.329;17079103.48;-0.000270439;0;0;0;0;3.463143708;0;2.487162682;0.789589957;0.758262252;-1.27656115;1.042657639;8.758262252;6186.765435;-1177.302317;0;0;86453.4;2163;48;0;53389.15902;;;-6184.546142
53500;8628370.511;1358593.375;-1769829.77;0;0;0;2.486896757;0.789653929;3168848.666;3249927.641;17078485.03;-0.000270439;0;0;0;0;3.462925262;0;2.486896757;0.789653929;0.758797127;-1.276817158;1.042695309;8.758797127;6182.343567;-1176.460864;0;0;86453.5;2163;48;0;53489.15941;;;-6180.131912
53600;8628429.638;1358925.993;-1769288.584;0;0;0;2.486630778;0.789717863;3168731.062;3249810.037;17077867.01;-0.000270439;0;0;0;0;3.462706985;0;2.486630778;0.789717863;0.759331689;-1.277073221;1.042732959;8.759331689;6177.921102;-1175.619297;0;0;86453.6;2163;48;0;53589.1598;;;-6175.717683
53700;8628488.721;1359258.602;-1768747.389;0;0;0;2.486364745;0.78978176;3168613.542;3249692.517;17077249.44;-0.000270439;0;0;0;0;3.462488877;0;2.486364745;0.78978176;0.75986594;-1.277329337;1.042770588;8.75986594;6173.49816;-1174.777639;0;0;86453.7;2163;48;0;53689.16019;;;-6171.303453
53800;8628547.762;1359591.203;-1768206.183;0;0;0;2.486098658;0.78984562;3168496.106;3249575.082;17076632.31;-0.000270439;0;0;0;0;3.462270938;0;2.486098658;0.78984562;0.760399878;-1.277585508;1.042808197;8.760399878;6169.074601;-1173.935864;0;0;86453.8;2163;48;0;53789.16058;;;-6166.836673
53900;8628606.759;1359923.796;-1767664.968;0;0;0;2.485832518;0.789909443;3168378.755;3249457.73;17076015.63;-0.000270439;0;0;0;0;3.462053168;0;2.485832518;0.789909443;0.760933504;-1.277841731;1.042845786;8.760933504;6164.650548;-1173.093994;0;0;86453.9;2163;48;0;53889.16098;;;-6162.474993
54000;8628665.713;1360256.38;-1767123.742;0;0;0;2.485566324;0.789973228;3168261.487;3249340.463;17075399.38;-0.000270439;0;0;0;0;3.461835567;0;2.485566324;0.789973228;0.761466817;-1.278098011;1.042883354;8.761466817;6160.22598;-1172.252027;0;0;86454;2163;48;0;53989.16137;;;-6158.008213
54100;8628724.623;1360588.956;-1766582.507;0;0;0;2.485300077;0.790036976;3168144.304;3249223.28;17074783.58;-0.000270439;0;0;0;0;3.461618135;0;2.485300077;0.790036976;0.761999818;-1.278354345;1.042920902;8.761999818;6155.80081;-1171.409945;0;0;86454.1;2163;48;0;54089.16176;;;-6153.593983
54200;8628783.49;1360921.523;-1766041.261;0;0;0;2.485033775;0.790100686;3168027.205;3249106.181;17074168.22;-0.000270439;0;0;0;0;3.461400872;0;2.485033775;0.790100686;0.762532505;-1.278610731;1.042958429;8.762532505;6151.375205;-1170.567781;0;0;86454.2;2163;48;0;54189.16215;;;-6149.127203
54300;8628842.314;1361254.082;-1765500.006;0;0;0;2.484767421;0.790164359;3167910.191;3248989.166;17073553.31;-0.000270439;0;0;0;0;3.461183778;0;2.484767421;0.790164359;0.76306488;-1.278867173;1.042995936;8.76306488;6146.948953;-1169.725493;0;0;86454.3;2163;48;0;54289.16254;;;-6144.765524
54400;8628901.095;1361586.632;-1764958.741;0;0;0;2.484501012;0.790227994;3167793.26;3248872.236;17072938.83;-0.000270439;0;0;0;0;3.460966852;0;2.484501012;0.790227994;0.763596941;-1.279123668;1.043033422;8.763596941;6142.522223;-1168.883114;0;0;86454.4;2163;48;0;54389.16293;;;-6140.298744
54500;8628959.832;1361919.174;-1764417.466;0;0;0;2.48423455;0.790291592;3167676.414;3248755.39;17072324.8;-0.000270439;0;0;0;0;3.460750095;0;2.48423455;0.790291592;0.764128688;-1.279380217;1.043070888;8.764128688;6138.09497;-1168.040636;0;0;86454.5;2163;48;0;54489.16332;;;-6135.884514
54600;8629018.526;1362251.708;-1763876.18;0;0;0;2.483968034;0.790355152;3167559.652;3248638.628;17071711.21;-0.000270439;0;0;0;0;3.460533507;0;2.483968034;0.790355152;0.764660122;-1.279636822;1.043108333;8.764660122;6133.667125;-1167.198045;0;0;86454.6;2163;48;0;54589.16371;;;-6131.470284
54700;8629077.177;1362584.233;-1763334.885;0;0;0;2.483701465;0.790418675;3167442.974;3248521.95;17071098.07;-0.000270439;0;0;0;0;3.460317088;0;2.483701465;0.790418675;0.765191243;-1.279893479;1.043145758;8.765191243;6129.238811;-1166.355365;0;0;86454.7;2163;48;0;54689.1641;;;-6127.003504
54800;8629135.785;1362916.75;-1762793.58;0;0;0;2.483434842;0.79048216;3167326.381;3248405.357;17070485.37;-0.000270439;0;0;0;0;3.460100838;0;2.483434842;0.79048216;0.765722049;-1.280150191;1.043183162;8.765722049;6124.809877;-1165.512567;0;0;86454.8;2163;48;0;54789.16449;;;-6122.589274
54900;8629194.349;1363249.258;-1762252.266;0;0;0;2.483168166;0.790545608;3167209.872;3248288.848;17069873.11;-0.000270439;0;0;0;0;3.459884757;0;2.483168166;0.790545608;0.766252541;-1.280406956;1.043220546;8.766252541;6120.380478;-1164.66968;0;0;86454.9;2163;48;0;54889.16487;;;-6118.175044
55000;8629252.87;1363581.757;-1761710.941;0;0;0;2.482901436;0.790609018;3167093.447;3248172.423;17069261.29;-0.000270439;0;0;0;0;3.459668844;0;2.482901436;0.790609018;0.766782719;-1.280663777;1.043257909;8.766782719;6115.950545;-1163.826692;0;0;86455;2163;48;0;54989.16526;;;-6113.708264
55100;8629311.348;1363914.249;-1761169.606;0;0;0;2.482634652;0.790672391;3166977.107;3248056.082;17068649.92;-0.000270439;0;0;0;0;3.4594531;0;2.482634652;0.790672391;0.767312582;-1.28092065;1.043295252;8.767312582;6111.520019;-1162.983591;0;0;86455.1;2163;48;0;55089.16565;;;-6109.346585
55200;8629369.782;1364246.731;-1760628.261;0;0;0;2.482367815;0.790735726;3166860.85;3247939.826;17068038.99;-0.000270439;0;0;0;0;3.459237525;0;2.482367815;0.790735726;0.767842131;-1.281177578;1.043332574;8.767842131;6107.089031;-1162.140402;0;0;86455.2;2163;48;0;55189.16604;;;-6104.827254
55300;8629428.173;1364579.206;-1760086.907;0;0;0;2.482100925;0.790799023;3166744.679;3247823.654;17067428.5;-0.000270439;0;0;0;0;3.459022119;0;2.482100925;0.790799023;0.768371365;-1.28143456;1.043369875;8.768371365;6102.65743;-1161.297096;0;0;86455.3;2163;48;0;55289.16643;;;-6100.465575
55400;8629486.521;1364911.671;-1759545.542;0;0;0;2.481833981;0.790862282;3166628.591;3247707.567;17066818.45;-0.000270439;0;0;0;0;3.458806881;0;2.481833981;0.790862282;0.768900284;-1.281691595;1.043407156;8.768900284;6098.225338;-1160.453697;0;0;86455.4;2163;48;0;55389.16681;;;-6095.998795
55500;8629544.825;1365244.129;-1759004.168;0;0;0;2.481566984;0.790925504;3166512.588;3247591.563;17066208.85;-0.000270439;0;0;0;0;3.458591812;0;2.481566984;0.790925504;0.769428887;-1.281948685;1.043444416;8.769428887;6093.792746;-1159.610203;0;0;86455.5;2163;48;0;55489.1672;;;-6091.584565
55600;8629603.086;1365576.578;-1758462.783;0;0;0;2.481299933;0.790988688;3166396.669;3247475.645;17065599.7;-0.000270439;0;0;0;0;3.458376912;0;2.481299933;0.790988688;0.769957176;-1.282205827;1.043481655;8.769957176;6089.359551;-1158.766594;0;0;86455.6;2163;48;0;55589.16759;;;-6087.117785
55700;8629661.304;1365909.018;-1757921.389;0;0;0;2.481032829;0.791051835;3166280.835;3247359.81;17064990.98;-0.000270439;0;0;0;0;3.45816218;0;2.481032829;0.791051835;0.770485149;-1.282463025;1.043518874;8.770485149;6084.925904;-1157.922899;0;0;86455.7;2163;48;0;55689.16797;;;-6082.756105
55800;8629719.479;1366241.45;-1757379.985;0;0;0;2.480765672;0.791114944;3166165.084;3247244.06;17064382.71;-0.000270439;0;0;0;0;3.457947617;0;2.480765672;0.791114944;0.771012806;-1.282720277;1.043556072;8.771012806;6080.491635;-1157.079086;0;0;86455.8;2163;48;0;55789.16836;;;-6078.236775
55900;8629777.61;1366573.874;-1756838.571;0;0;0;2.480498461;0.791178014;3166049.419;3247128.394;17063774.88;-0.000270439;0;0;0;0;3.457733223;0;2.480498461;0.791178014;0.771540148;-1.282977581;1.043593249;8.771540148;6076.056879;-1156.23518;0;0;86455.9;2163;48;0;55889.16875;;;-6073.875095
56000;8629835.698;1366906.289;-1756297.147;0;0;0;2.480231197;0.791241048;3165933.837;3247012.813;17063167.5;-0.000270439;0;0;0;0;3.457518997;0;2.480231197;0.791241048;0.772067174;-1.283234941;1.043630406;8.772067174;6071.621625;-1155.391179;0;0;86456;2163;48;0;55989.16913;;;-6069.355765
56100;8629893.743;1367238.695;-1755755.713;0;0;0;2.479963879;0.791304043;3165818.341;3246897.316;17062560.56;-0.000270439;0;0;0;0;3.45730494;0;2.479963879;0.791304043;0.772593883;-1.283492352;1.043667542;8.772593883;6067.185763;-1154.547062;0;0;86456.1;2163;48;0;56089.16952;;;-6064.994085
56200;8629951.744;1367571.093;-1755214.27;0;0;0;2.479696508;0.791367;3165702.928;3246781.904;17061954.06;-0.000270439;0;0;0;0;3.457091052;0;2.479696508;0.791367;0.773120276;-1.28374982;1.043704657;8.773120276;6062.749467;-1153.702863;0;0;86456.2;2163;48;0;56189.1699;;;-6060.527305
56300;8630009.702;1367903.483;-1754672.816;0;0;0;2.479429084;0.79142992;3165587.6;3246666.575;17061348.01;-0.000270439;0;0;0;0;3.456877332;0;2.479429084;0.79142992;0.773646353;-1.284007339;1.043741751;8.773646353;6058.312534;-1152.858543;0;0;86456.3;2163;48;0;56289.17029;;;-6056.113075
56400;8630067.617;1368235.864;-1754131.352;0;0;0;2.479161607;0.791492802;3165472.356;3246551.332;17060742.4;-0.000270439;0;0;0;0;3.456663781;0;2.479161607;0.791492802;0.774172113;-1.284264913;1.043778825;8.774172113;6053.875123;-1152.014132;0;0;86456.4;2163;48;0;56389.17067;;;-6051.646295
56500;8630125.489;1368568.237;-1753589.879;0;0;0;2.478894077;0.791555646;3165357.197;3246436.173;17060137.23;-0.000270439;0;0;0;0;3.456450399;0;2.478894077;0.791555646;0.774697556;-1.284522541;1.043815878;8.774697556;6049.437212;-1151.169625;0;0;86456.5;2163;48;0;56489.17105;;;-6047.232065
56600;8630183.317;1368900.601;-1753048.396;0;0;0;2.478626493;0.791618452;3165242.122;3246321.098;17059532.51;-0.000270439;0;0;0;0;3.456237185;0;2.478626493;0.791618452;0.775222682;-1.284780221;1.04385291;8.775222682;6044.998698;-1150.325004;0;0;86456.6;2163;48;0;56589.17144;;;-6042.765285
56700;8630241.102;1369232.957;-1752506.903;0;0;0;2.478358856;0.79168122;3165127.132;3246206.108;17058928.23;-0.000270439;0;0;0;0;3.456024139;0;2.478358856;0.79168122;0.775747492;-1.285037958;1.043889921;8.775747492;6040.559742;-1149.480299;0;0;86456.7;2163;48;0;56689.17182;;;-6038.351056
56800;8630298.843;1369565.304;-1751965.4;0;0;0;2.478091166;0.79174395;3165012.226;3246091.202;17058324.4;-0.000270439;0;0;0;0;3.455811262;0;2.478091166;0.79174395;0.776271983;-1.285295745;1.043926911;8.776271983;6036.120152;-1148.635473;0;0;86456.8;2163;48;0;56789.17221;;;-6033.884275
56900;8630356.542;1369897.642;-1751423.887;0;0;0;2.477823422;0.791806642;3164897.405;3245976.381;17057721.01;-0.000270439;0;0;0;0;3.455598554;0;2.477823422;0.791806642;0.776796158;-1.285553588;1.043963881;8.776796158;6031.680099;-1147.790559;0;0;86456.9;2163;48;0;56889.17259;;;-6029.470046
57000;8630414.197;1370229.973;-1750882.364;0;0;0;2.477555626;0.791869296;3164782.668;3245861.644;17057118.06;-0.000270439;0;0;0;0;3.455386014;0;2.477555626;0.791869296;0.777320014;-1.285811484;1.044000829;8.777320014;6027.239537;-1146.945548;0;0;86457;2163;48;0;56989.17297;;;-6025.003265
57100;8630471.808;1370562.294;-1750340.832;0;0;0;2.477287776;0.791931912;3164668.016;3245746.991;17056515.56;-0.000270439;0;0;0;0;3.455173643;0;2.477287776;0.791931912;0.777843553;-1.286069433;1.044037757;8.777843553;6022.79838;-1146.100424;0;0;86457.1;2163;48;0;57089.17335;;;-6020.589036
57200;8630529.377;1370894.608;-1749799.289;0;0;0;2.477019874;0.79199449;3164553.448;3245632.424;17055913.5;-0.000270439;0;0;0;0;3.45496144;0;2.477019874;0.79199449;0.778366774;-1.286327437;1.044074664;8.778366774;6018.356779;-1145.255216;0;0;86457.2;2163;48;0;57189.17374;;;-6016.122255
57300;8630586.902;1371226.913;-1749257.737;0;0;0;2.476751918;0.79205703;3164438.965;3245517.94;17055311.89;-0.000270439;0;0;0;0;3.454749405;0;2.476751918;0.79205703;0.778889677;-1.286585493;1.04411155;8.778889677;6013.914551;-1144.409888;0;0;86457.3;2163;48;0;57289.17412;;;-6011.708026
57400;8630644.384;1371559.209;-1748716.175;0;0;0;2.476483909;0.792119532;3164324.566;3245403.542;17054710.72;-0.000270439;0;0;0;0;3.454537539;0;2.476483909;0.792119532;0.779412261;-1.286843603;1.044148415;8.779412261;6009.471851;-1143.56447;0;0;86457.4;2163;48;0;57389.1745;;;-6007.241246
57500;8630701.822;1371891.497;-1748174.603;0;0;0;2.476215847;0.792181996;3164210.252;3245289.228;17054110;-0.000270439;0;0;0;0;3.454325842;0;2.476215847;0.792181996;0.779934527;-1.287101766;1.044185259;8.779934527;6005.028643;-1142.718956;0;0;86457.5;2163;48;0;57489.17488;;;-6002.827016
57600;8630759.217;1372223.776;-1747633.021;0;0;0;2.475947732;0.792244421;3164096.022;3245174.998;17053509.72;-0.000270439;0;0;0;0;3.454114313;0;2.475947732;0.792244421;0.780456474;-1.287359984;1.044222082;8.780456474;6000.584853;-1141.873331;0;0;86457.6;2163;48;0;57589.17526;;;-5998.360236
57700;8630816.569;1372556.047;-1747091.429;0;0;0;2.475679564;0.792306809;3163981.877;3245060.853;17052909.88;-0.000270439;0;0;0;0;3.453902952;0;2.475679564;0.792306809;0.780978103;-1.287618256;1.044258884;8.780978103;5996.140607;-1141.027619;0;0;86457.7;2163;48;0;57689.17564;;;-5993.893455
57800;8630873.878;1372888.309;-1746549.828;0;0;0;2.475411343;0.792369159;3163867.817;3244946.792;17052310.49;-0.000270439;0;0;0;0;3.45369176;0;2.475411343;0.792369159;0.781499412;-1.287876579;1.044295665;8.781499412;5991.695745;-1140.18179;0;0;86457.8;2163;48;0;57789.17602;;;-5989.479226
57900;8630931.143;1373220.563;-1746008.216;0;0;0;2.475143069;0.79243147;3163753.841;3244832.816;17051711.54;-0.000270439;0;0;0;0;3.453480736;0;2.475143069;0.79243147;0.782020403;-1.288134957;1.044332426;8.782020403;5987.25042;-1139.335872;0;0;86457.9;2163;48;0;57889.1764;;;-5985.012446
58000;8630988.365;1373552.808;-1745466.595;0;0;0;2.474874742;0.792493743;3163639.95;3244718.925;17051113.04;-0.000270439;0;0;0;0;3.453269881;0;2.474874742;0.792493743;0.782541074;-1.288393388;1.044369165;8.782541074;5982.804583;-1138.489858;0;0;86458;2163;48;0;57989.17678;;;-5980.598216
58100;8631045.544;1373885.045;-1744924.964;0;0;0;2.474606363;0.792555978;3163526.143;3244605.119;17050514.98;-0.000270439;0;0;0;0;3.453059193;0;2.474606363;0.792555978;0.783061425;-1.288651872;1.044405883;8.783061425;5978.358157;-1137.643731;0;0;86458.1;2163;48;0;58089.17716;;;-5976.131436
58200;8631102.679;1374217.274;-1744383.323;0;0;0;2.47433793;0.792618174;3163412.421;3244491.396;17049917.37;-0.000270439;0;0;0;0;3.452848675;0;2.47433793;0.792618174;0.783581457;-1.288910411;1.04444258;8.783581457;5973.91129;-1136.79752;0;0;86458.2;2163;48;0;58189.17754;;;-5971.664655
58300;8631159.771;1374549.494;-1743841.673;0;0;0;2.474069444;0.792680333;3163298.784;3244377.759;17049320.2;-0.000270439;0;0;0;0;3.452638324;0;2.474069444;0.792680333;0.784101169;-1.289169002;1.044479256;8.784101169;5969.463798;-1135.951191;0;0;86458.3;2163;48;0;58289.17792;;;-5967.250426
58400;8631216.82;1374881.705;-1743300.012;0;0;0;2.473800906;0.792742453;3163185.231;3244264.206;17048723.47;-0.000270439;0;0;0;0;3.452428142;0;2.473800906;0.792742453;0.784620561;-1.289427647;1.044515911;8.784620561;5965.01584;-1135.104772;0;0;86458.4;2163;48;0;58389.1783;;;-5962.783645
58500;8631273.826;1375213.908;-1742758.342;0;0;0;2.473532314;0.792804535;3163071.763;3244150.738;17048127.19;-0.000270439;0;0;0;0;3.452218129;0;2.473532314;0.792804535;0.785139633;-1.289686344;1.044552545;8.785139633;5960.567383;-1134.258259;0;0;86458.5;2163;48;0;58489.17868;;;-5958.369416
58600;8631330.788;1375546.102;-1742216.662;0;0;0;2.47326367;0.792866578;3162958.379;3244037.355;17047531.36;-0.000270439;0;0;0;0;3.452008283;0;2.47326367;0.792866578;0.785658385;-1.289945095;1.044589158;8.785658385;5956.118319;-1133.411631;0;0;86458.6;2163;48;0;58589.17906;;;-5953.902636
58700;8631387.707;1375878.288;-1741674.972;0;0;0;2.472994973;0.792928584;3162845.08;3243924.056;17046935.97;-0.000270439;0;0;0;0;3.451798606;0;2.472994973;0.792928584;0.786176816;-1.290203901;1.044625749;8.786176816;5951.668836;-1132.564922;0;0;86458.7;2163;48;0;58689.17943;;;-5949.435855
58800;8631444.582;1376210.465;-1741133.272;0;0;0;2.472726223;0.79299055;3162731.866;3243810.842;17046341.03;-0.000270439;0;0;0;0;3.451589097;0;2.472726223;0.79299055;0.786694926;-1.290462758;1.04466232;8.786694926;5947.218713;-1131.718092;0;0;86458.8;2163;48;0;58789.17981;;;-5944.969075
58900;8631501.415;1376542.634;-1740591.562;0;0;0;2.472457421;0.793052479;3162618.737;3243697.712;17045746.53;-0.000270439;0;0;0;0;3.451379756;0;2.472457421;0.793052479;0.787212716;-1.290721671;1.044698869;8.787212716;5942.768145;-1130.871177;0;0;86458.9;2163;48;0;58889.18019;;;-5940.554845
59000;8631558.203;1376874.795;-1740049.843;0;0;0;2.472188565;0.793114369;3162505.692;3243584.667;17045152.47;-0.000270439;0;0;0;0;3.451170584;0;2.472188565;0.793114369;0.787730184;-1.290980633;1.044735398;8.787730184;5938.317068;-1130.024165;0;0;86459;2163;48;0;58989.18057;;;-5936.088065
