Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
5500,8988379.782771,460906.5529915,11925.81011968,0,0,0,1.54492741764,1.395964338681,2650647.133982,964938.006540311,5070783.449341,0.00562292874192,0,0,0,0,2.501257682474,0,1.54492741764,1.395964338681,4.49914324786,-2.835112067722,1.447214628828,12.49914324786,-3685.35650113,701.3000241714,0,0,86405.500,2163,0,0,5496.781313269
5600,8988350.622839,461469.276332,12142.92420342,0,0,0,1.544488783958,1.395751337596,2650717.311255,965008.18429257,5071152.235918,0.005622928740634,0,0,0,0,2.501351039924,0,1.544488783958,1.395751337596,4.498533044701,-2.835550135332,1.44706484226,12.4985330447,-3690.374977086,702.255008393,0,0,86405.600,2163,0,0,5596.781079181
5700,8988321.42244,462031.9975977,12360.03822026,0,0,0,1.544051228841,1.395538312997,2650787.584023,965078.457539964,5071521.524326,0.005622928739348,0,0,0,0,2.501444528091,0,1.544051228841,1.395538312997,4.497922774177,-2.835987122979,1.446915042008,12.49792277418,-3695.393082924,703.2099221833,0,0,86405.700,2163,0,0,5696.780844775
5800,8988292.181575,462594.7167861,12577.15216901,0,0,0,1.543614748479,1.395325265021,2650857.952279,965148.826274599,5071891.314522,0.005622928738062,0,0,0,0,2.501538146976,0,1.543614748479,1.395325265021,4.497312436684,-2.836423037054,1.446765228174,12.49731243668,-3700.41076909,704.1647561127,0,0,86405.800,2163,0,0,5796.78061005
5900,8988262.900244,463157.4338945,12794.26604843,0,0,0,1.543179339079,1.395112193805,2650928.416013,965219.290488537,5072261.606466,0.005622928736776,0,0,0,0,2.501631896579,0,1.543179339079,1.395112193805,4.496702032613,-2.836857879404,1.44661540086,12.49670203261,-3705.42803436,705.1195099484,0,0,86405.900,2163,0,0,5896.780375007
6000,8988233.578446,463720.1489209,13011.37985744,0,0,0,1.542744996865,1.394899099485,2650998.975219,965289.850173903,5072632.400115,0.005622928735489,0,0,0,0,2.501725776903,0,1.542744996865,1.394899099485,4.496091562353,-2.837291656072,1.446465560164,12.49609156235,-3710.444894029,706.0741866007,0,0,86406.000,2163,0,0,5996.780139645
6100,8988204.216183,464282.8618624,13228.49359473,0,0,0,1.542311718078,1.394685982196,2651069.629889,965360.505322711,5073003.695428,0.005622928734203,0,0,0,0,2.501819787949,0,1.542311718078,1.394685982196,4.495481026294,-2.837724368795,1.446315706188,12.49548102629,-3715.461294261,707.0287758252,0,0,86406.100,2163,0,0,6096.779903965
6200,8988174.813454,464845.5727167,13445.60725918,0,0,0,1.541879498978,1.394472842074,2651140.380013,965431.255927043,5073375.492363,0.005622928732917,0,0,0,0,2.501913929717,0,1.541879498978,1.394472842074,4.494870424823,-2.838156021777,1.44616583903,12.49487042482,-3720.477326822,707.983295084,0,0,86406.200,2163,0,0,6196.779667966
6300,8988145.370259,465408.2814814,13662.7208496,0,0,0,1.541448335838,1.394259679254,2651211.225585,965502.101978943,5073747.790879,0.005622928731631,0,0,0,0,2.50200820221,0,1.541448335838,1.394259679254,4.494259758325,-2.838586619824,1.44601595879,12.49425975832,-3725.492905452,708.9377279626,0,0,86406.300,2163,0,0,6296.779431649
6400,8988115.886598,465970.988154,13879.83436475,0,0,0,1.541018224949,1.394046493868,2651282.166597,965573.04347044,5074120.590933,0.005622928730345,0,0,0,0,2.502102605429,0,1.541018224949,1.394046493868,4.493649027183,-2.839016164221,1.445866065566,12.49364902718,-3730.508098668,709.8920874996,0,0,86406.400,2163,0,0,6396.779195014
