Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;Doppler
500;7369926.918;-355197.2559;0.001628482;0;0;0;-1.570796322;1.226889813;1053474.976;1293063.659;6795095.391;-0.000799173;0;0;0;0;2.615593492;0;-1.570796322;1.226889813;4.014780412;4.50E-07;1.275048041;12.01478041;10433.62817;-1985.453425;0;0;86400.5;2163;0;0;495.6868039;;-10424.57151
600;7369959.686;-354516.8108;0.001955768;0;0;0;-1.570796321;1.227508502;1053276.603;1292865.285;6794052.93;-0.000799173;0;0;0;0;2.615017559;0;-1.570796321;1.227508502;4.016552824;4.51E-07;1.275574403;12.01655282;10415.60171;-1982.023103;0;0;86400.6;2163;0;0;595.6874656;;-10406.59929
700;7369992.392;-353836.3626;0.002283143;0;0;0;-1.57079632;1.228127406;1053078.572;1292667.254;6793012.271;-0.000799173;0;0;0;0;2.614442679;0;-1.57079632;1.228127406;4.018325854;4.52E-07;1.27610098;12.01832585;10397.56497;-1978.590826;0;0;86400.7;2163;0;0;695.6881262;;-10388.52197
800;7370025.035;-353155.9114;0.002610607;0;0;0;-1.570796319;1.228746526;1052880.885;1292469.567;6791973.417;-0.000799173;0;0;0;0;2.613868852;0;-1.570796319;1.228746526;4.020099501;4.53E-07;1.276627773;12.0200995;10379.51808;-1975.156617;0;0;86400.8;2163;0;0;795.6887856;;-10370.44464
900;7370057.615;-352475.4573;0.002938161;0;0;0;-1.570796318;1.22936586;1052683.542;1292272.223;6790936.368;-0.000799173;0;0;0;0;2.613296077;0;-1.570796318;1.22936586;4.021873764;4.54E-07;1.27715478;12.02187376;10361.46079;-1971.720429;0;0;86400.9;2163;0;0;895.6894439;;-10352.41987
1000;7370090.133;-351795.0001;0.003265804;0;0;0;-1.570796318;1.22998541;1052486.542;1292075.223;6789901.125;-0.000799173;0;0;0;0;2.612724357;0;-1.570796318;1.22998541;4.023648642;4.55E-07;1.277682002;12.02364864;10343.39339;-1968.282318;0;0;86401;2163;0;0;995.690101;;-10334.34255
1100;7370122.587;-351114.5399;0.003593537;0;0;0;-1.570796317;1.230605173;1052289.886;1291878.567;6788867.69;-0.000799173;0;0;0;0;2.61215369;0;-1.570796317;1.230605173;4.025424134;4.56E-07;1.278209439;12.02542413;10325.31569;-1964.842245;0;0;86401.1;2163;0;0;1095.690757;;-10316.26523
1200;7370154.979;-350434.0768;0.003921359;0;0;0;-1.570796316;1.231225151;1052093.574;1291682.255;6787836.062;-0.000799173;0;0;0;0;2.611584077;0;-1.570796316;1.231225151;4.02720024;4.57E-07;1.27873709;12.02720024;10307.22777;-1961.400229;0;0;86401.2;2163;0;0;1195.691412;;-10298.13536
1300;7370187.308;-349753.6107;0.00424927;0;0;0;-1.570796315;1.231845343;1051897.607;1291486.287;6786806.244;-0.000799173;0;0;0;0;2.611015518;0;-1.570796315;1.231845343;4.028976959;4.58E-07;1.279264955;12.02897696;10289.12975;-1957.95629;0;0;86401.3;2163;0;0;1295.692065;;-10280.05803
1400;7370219.574;-349073.1416;0.004577271;0;0;0;-1.570796314;1.232465749;1051701.984;1291290.663;6785778.237;-0.000799173;0;0;0;0;2.610448014;0;-1.570796314;1.232465749;4.030754291;4.59E-07;1.279793033;12.03075429;10271.02138;-1954.510381;0;0;86401.4;2163;0;0;1395.692718;;-10261.98071
