Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;Doppler
500;8678385.278;-2385204.66;1047.157028;0;0;0;-1.570357305;0.767267721;3313662.601;1520627.487;7990951.381;0.005980933;0;0;0;0;3.541978622;0;-1.570357305;0.767267721;0.573883254;0.326742302;1.035489191;8.573883254;15136.95217;-2880.466223;0;0;86400.5;2163;0;0;494.9277327;;-15135.61664
600;8678534.914;-2384660.067;1260.497305;0;0;0;-1.570267741;0.767414302;3313374.579;1520339.466;7989437.817;0.005980933;0;0;0;0;3.541443494;0;-1.570267741;0.767414302;0.575083637;0.326828664;1.035573031;8.575083637;15134.31806;-2879.964969;0;0;86400.6;2163;0;0;594.9286934;;-15132.98203
700;8678684.511;-2384115.464;1473.837574;0;0;0;-1.570178136;0.767560899;3313086.608;1520051.494;7987924.517;0.005980933;0;0;0;0;3.540908546;0;-1.570178136;0.767560899;0.576284145;0.326915066;1.035656889;8.576284145;15131.68299;-2879.463533;0;0;86400.7;2163;0;0;694.929654;;-15130.34668
800;8678834.068;-2383570.85;1687.177835;0;0;0;-1.570088491;0.76770751;3312798.687;1519763.573;7986411.481;0.005980933;0;0;0;0;3.54037378;0;-1.570088491;0.76770751;0.577484778;0.327001509;1.035740765;8.577484778;15129.04736;-2878.961988;0;0;86400.8;2163;0;0;794.9306144;;-15127.71059
900;8678983.587;-2383026.226;1900.518087;0;0;0;-1.569998804;0.767854137;3312510.817;1519475.702;7984898.708;0.005980933;0;0;0;0;3.539839195;0;-1.569998804;0.767854137;0.578685535;0.327087993;1.035824657;8.578685535;15126.41077;-2878.460262;0;0;86400.9;2163;0;0;894.9315746;;-15125.07378
1000;8679133.066;-2382481.591;2113.858328;0;0;0;-1.569909076;0.768000779;3312222.996;1519187.881;7983386.198;0.005980933;0;0;0;0;3.539304791;0;-1.569909076;0.768000779;0.579889163;0.327174516;1.035908567;8.579889163;15123.77356;-2877.958416;0;0;86401;2163;0;0;994.9325347;;-15122.43617
1100;8679282.506;-2381936.945;2327.198558;0;0;0;-1.569819308;0.768147437;3311935.226;1518900.11;7981873.953;0.005980933;0;0;0;0;3.538770569;0;-1.569819308;0.768147437;0.581097373;0.327261083;1.035992495;8.581097373;15121.13568;-2877.456445;0;0;86401.1;2163;0;0;1094.933495;;-15119.79782
1200;8679431.908;-2381392.288;2540.538775;0;0;0;-1.569729498;0.768294109;3311647.505;1518612.39;7980361.971;0.005980933;0;0;0;0;3.538236528;0;-1.569729498;0.768294109;0.582305708;0.327347688;1.036076439;8.582305708;15118.49684;-2876.954291;0;0;86401.2;2163;0;0;1194.934454;;-15117.15869
1300;8679581.27;-2380847.62;2753.878977;0;0;0;-1.569639647;0.768440797;3311359.835;1518324.719;7978850.254;0.005980933;0;0;0;0;3.537702668;0;-1.569639647;0.768440797;0.583514168;0.327434336;1.036160401;8.583514168;15115.85743;-2876.452027;0;0;86401.3;2163;0;0;1294.935414;;-15114.51883
1400;8679730.593;-2380302.942;2967.219165;0;0;0;-1.569549755;0.7685875;3311072.216;1518037.099;7977338.8;0.005980933;0;0;0;0;3.537168989;0;-1.569549755;0.7685875;0.584722753;0.327521025;1.03624438;8.584722753;15113.2171;-2875.949589;0;0;86401.4;2163;0;0;1394.936373;;-15111.87822
1500;8679879.877;-2379758.253;3180.559336;0;0;0;-1.569459822;0.768734218;3310784.646;1517749.53;7975827.61;0.005980933;0;0;0;0;3.536635492;0;-1.569459822;0.768734218;0.585931464;0.327607753;1.036328376;8.585931464;15110.5761;-2875.447023;0;0;86401.5;2163;0;0;1494.937333;;-15109.23688
1600;8680029.122;-2379213.554;3393.899489;0;0;0;-1.569369848;0.768880952;3310497.127;1517462.01;7974316.685;0.005980933;0;0;0;0;3.536102175;0;-1.569369848;0.768880952;0.5871403;0.327694523;1.03641239;8.5871403;15107.93445;-2874.944335;0;0;86401.6;2163;0;0;1594.938292;;-15106.59476
1700;8680178.328;-2378668.844;3607.239624;0;0;0;-1.569279833;0.7690277;3310209.658;1517174.541;7972806.023;0.005980933;0;0;0;0;3.535569039;0;-1.569279833;0.7690277;0.588349262;0.327781334;1.036496421;8.588349262;15105.29184;-2874.441464;0;0;86401.7;2163;0;0;1694.93925;;-15103.95184
1800;8680327.495;-2378124.123;3820.579739;0;0;0;-1.569189776;0.769174464;3309922.239;1516887.122;7971295.626;0.005980933;0;0;0;0;3.535036085;0;-1.569189776;0.769174464;0.589558349;0.327868187;1.036580469;8.589558349;15102.64866;-2873.938483;0;0;86401.8;2163;0;0;1794.940209;;-15101.30825
1900;8680476.623;-2377579.391;4033.919833;0;0;0;-1.569099679;0.769321243;3309634.871;1516599.753;7969785.494;0.005980933;0;0;0;0;3.534503311;0;-1.569099679;0.769321243;0.590767561;0.327955081;1.036664534;8.590767561;15100.00455;-2873.435325;0;0;86401.9;2163;0;0;1894.941168;;-15098.66386
2000;8680625.712;-2377034.649;4247.259904;0;0;0;-1.569009539;0.769468038;3309347.553;1516312.435;7968275.625;0.005980933;0;0;0;0;3.533970718;0;-1.569009539;0.769468038;0.591976898;0.328042014;1.036748617;8.591976898;15097.35979;-2872.932043;0;0;86402;2163;0;0;1994.942126;;-15096.01874
2100;8680774.762;-2376489.895;4460.599953;0;0;0;-1.568919359;0.769614847;3309060.285;1516025.167;7966766.022;0.005980933;0;0;0;0;3.533438305;0;-1.568919359;0.769614847;0.59318636;0.32812899;1.036832717;8.59318636;15094.71437;-2872.428637;0;0;86402.1;2163;0;0;2094.943084;;-15093.37277
2200;8680923.773;-2375945.132;4673.939976;0;0;0;-1.568829137;0.769761672;3308773.068;1515737.949;7965256.683;0.005980933;0;0;0;0;3.532906074;0;-1.568829137;0.769761672;0.594395948;0.328216007;1.036916834;8.594395948;15092.06798;-2871.925046;0;0;86402.2;2163;0;0;2194.944042;;-15090.72618
2300;8681072.744;-2375400.357;4887.279974;0;0;0;-1.568738874;0.769908512;3308485.901;1515450.782;7963747.608;0.005980933;0;0;0;0;3.532374023;0;-1.568738874;0.769908512;0.595605661;0.328303065;1.037000968;8.595605661;15089.42102;-2871.421347;0;0;86402.3;2163;0;0;2294.945;;-15088.07875
