Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);Doppler;Drift
500;6545552.103;-312769.3939;100266.3863;0;0;0;-1.2605709;0.47138518;368653.6949;709222.2476;3726988.066;-0.001135996;0;0;0;0;5.394731614;0;-1.2605709;0.47138518;-1.935298472;0.356874649;0.521521925;6.064701528;31226.82146;-5942.266545;0;0;86400.5;2163;0;0;497.6342892;31214.33355;-240.6153
600;6545586.322;-312038.918;100303.0343;0;0;0;-1.259784073;0.472312341;368059.7059;708628.2492;3723866.584;-0.001135996;0;0;0;0;5.385057537;0;-1.259784073;0.472312341;-1.927682994;0.357660378;0.52234454;6.072317006;31202.8177;-5937.698782;0;0;86400.6;2163;0;0;597.6362706;31190.27202;-241.7871
700;6545620.46;-311308.4382;100339.6809;0;0;0;-1.258993954;0.473242054;367466.1747;708034.7086;3720747.507;-0.001135996;0;0;0;0;5.375396017;0;-1.258993954;0.473242054;-1.920046563;0.358449399;0.523169738;6.079953437;31178.69697;-5933.10876;0;0;86400.7;2163;0;0;697.6382504;31166.09331;-242.9653
800;6545654.516;-310577.9546;100376.3261;0;0;0;-1.258200524;0.474174325;366873.1037;707441.6282;3717630.848;-0.001135996;0;0;0;0;5.365747068;0;-1.258200524;0.474174325;-1.912389111;0.35924173;0.523997525;6.087610889;31154.45871;-5928.496373;0;0;86400.8;2163;0;0;797.6402287;31141.79678;-244.1505
900;6545688.49;-309847.4671;100412.9698;0;0;0;-1.257403763;0.475109163;366280.495;706849.0101;3714516.619;-0.001135996;0;0;0;0;5.356110703;0;-1.257403763;0.475109163;-1.904710572;0.360037393;0.524827911;6.095289428;31130.10258;-5923.861555;0;0;86400.9;2163;0;0;897.6422055;31117.38173;-245.3423
1000;6545722.382;-309116.9757;100449.6121;0;0;0;-1.256603651;0.476046577;365688.3509;706256.8566;3711404.832;-0.001135996;0;0;0;0;5.346486936;0;-1.256603651;0.476046577;-1.89701088;0.360836407;0.525660905;6.10298912;31105.62726;-5919.204056;0;0;86401;2163;0;0;997.6441807;31092.8475;-246.5408
1100;6545756.193;-308386.4805;100486.253;0;0;0;-1.255800167;0.476986575;365096.6737;705665.17;3708295.498;-0.001135996;0;0;0;0;5.336875782;0;-1.255800167;0.476986575;-1.889289967;0.361638791;0.526496513;6.110710033;31081.03262;-5914.523851;0;0;86401.1;2163;0;0;1097.646154;31068.19342;-247.7463
1200;6545789.922;-307655.9815;100522.8924;0;0;0;-1.254993293;0.477929164;364505.4656;705073.9526;3705188.629;-0.001135996;0;0;0;0;5.327277253;0;-1.254993293;0.477929164;-1.881547768;0.362444568;0.527334746;6.118452232;31056.31764;-5909.820748;0;0;86401.2;2163;0;0;1197.648126;31043.41879;-248.9585
1300;6545823.569;-306925.4786;100559.5305;0;0;0;-1.254183006;0.478874353;363914.729;704483.2067;3702084.238;-0.001135996;0;0;0;0;5.317691364;0;-1.254183006;0.478874353;-1.873784215;0.363253756;0.52817561;6.126215785;31031.48179;-5905.094642;0;0;86401.3;2163;0;0;1297.650097;31018.52294;-250.1778
1400;6545857.135;-306194.972;100596.1671;0;0;0;-1.253369286;0.479822149;363324.4661;703892.9345;3698982.337;-0.001135996;0;0;0;0;5.308118131;0;-1.253369286;0.479822149;-1.865999241;0.364066377;0.529019114;6.134000759;31006.52464;-5900.345454;0;0;86401.4;2163;0;0;1397.652066;30993.50516;-251.4039
1500;6545890.619;-305464.4615;100632.8022;0;0;0;-1.252552113;0.480772562;362734.6794;703303.1384;3695882.937;-0.001135996;0;0;0;0;5.298557569;0;-1.252552113;0.480772562;-1.858192781;0.364882451;0.529865267;6.141807219;30981.44486;-5895.572932;0;0;86401.5;2163;0;0;1497.654033;30968.36477;-252.637
1600;6545924.021;-304733.9473;100669.436;0;0;0;-1.251731465;0.481725598;362145.371;702713.8207;3692786.052;-0.001135996;0;0;0;0;5.289009691;0;-1.251731465;0.481725598;-1.850364767;0.365702;0.530714078;6.149635233;30956.24233;-5890.77705;0;0;86401.6;2163;0;0;1597.655999;30943.10107;-253.8772
1700;6545957.342;-304003.4292;100706.0683;0;0;0;-1.250907322;0.482681267;361556.5433;702124.9837;3689691.693;-0.001135996;0;0;0;0;5.279474513;0;-1.250907322;0.482681267;-1.842515133;0.366525044;0.531565553;6.157484867;30930.916;-5885.957609;0;0;86401.7;2163;0;0;1697.657963;30917.71335;-255.1245
1800;6545990.58;-303272.9074;100742.6992;0;0;0;-1.250079662;0.483639577;360968.1988;701536.6299;3686599.873;-0.001135996;0;0;0;0;5.269952052;0;-1.250079662;0.483639577;-1.834643811;0.367351605;0.532419702;6.165356189;30905.46528;-5881.114499;0;0;86401.8;2163;0;0;1797.659926;30892.2009;-256.3788
1900;6546023.738;-302542.3818;100779.3287;0;0;0;-1.249248464;0.484600534;360380.3398;700948.7616;3683510.604;-0.001135996;0;0;0;0;5.260442322;0;-1.249248464;0.484600534;-1.826750735;0.368181704;0.533276533;6.173249265;30879.88981;-5876.247647;0;0;86401.9;2163;0;0;1897.661887;30866.56302;-257.6403
2000;6546056.813;-301811.8525;100815.9567;0;0;0;-1.248413706;0.485564149;359792.9686;700361.3812;3680423.899;-0.001135996;0;0;0;0;5.25094534;0;-1.248413706;0.485564149;-1.818835838;0.369015363;0.534136054;6.181164162;30854.18816;-5871.356786;0;0;86402;2163;0;0;1997.663846;30840.79899;-258.9089
2100;6546089.807;-301081.3194;100852.5833;0;0;0;-1.247575366;0.486530428;359206.0877;699774.4911;3677339.771;-0.001135996;0;0;0;0;5.241461121;0;-1.247575366;0.486530428;-1.810899054;0.369852604;0.534998275;6.189100946;30828.36021;-5866.44189;0;0;86402.1;2163;0;0;2097.665804;30814.9081;-260.185
2200;6546122.718;-300350.7826;100889.2085;0;0;0;-1.246733423;0.48749938;358619.6995;699188.0936;3674258.231;-0.001135996;0;0;0;0;5.231989682;0;-1.246733423;0.48749938;-1.802940315;0.370693448;0.535863202;6.197059685;30802.40489;-5861.502757;0;0;86402.2;2163;0;0;2197.66776;30788.8896;-261.4682
2300;6546155.549;-299620.242;100925.8323;0;0;0;-1.245887854;0.488471013;358033.8064;698602.1913;3671179.294;-0.001135996;0;0;0;0;5.22253104;0;-1.245887854;0.488471013;-1.794959554;0.371537918;0.536730844;6.205040446;30776.32159;-5856.539271;0;0;86402.3;2163;0;0;2297.669714;30762.74278;-262.7586
2400;6546188.297;-298889.6978;100962.4546;0;0;0;-1.245038637;0.489445336;357448.4109;698016.7866;3668102.971;-0.001135996;0;0;0;0;5.213085211;0;-1.245038637;0.489445336;-1.786882731;0.372386036;0.53760121;6.213117269;30750.10991;-5851.551354;0;0;86402.4;2163;0;0;2397.671667;30736.46692;-264.0567
2500;6546220.964;-298159.1498;100999.0755;0;0;0;-1.24418575;0.490422355;356863.5154;697431.8819;3665029.276;-0.001135996;0;0;0;0;5.203652213;0;-1.24418575;0.490422355;-1.778761763;0.373237825;0.538474309;6.221238237;30723.76847;-5846.538743;0;0;86402.5;2163;0;0;2497.673618;30710.06125;-265.3617
2600;6546253.549;-297428.5981;101035.6949;0;0;0;-1.243329169;0.49140208;356279.1223;696847.4797;3661958.222;-0.001135996;0;0;0;0;5.194232063;0;-1.243329169;0.49140208;-1.770618309;0.374093306;0.539350148;6.229381691;30697.29707;-5841.501404;0;0;86402.6;2163;0;0;2597.675567;30683.52508;-266.6748
2700;6546286.052;-296698.0427;101072.3129;0;0;0;-1.242468873;0.492384518;355695.2343;696263.5824;3658889.821;-0.001135996;0;0;0;0;5.184824777;0;-1.242468873;0.492384518;-1.762452299;0.374952503;0.540228735;6.237547701;30670.6946;-5836.439122;0;0;86402.7;2163;0;0;2697.677515;30656.8576;-267.9948
2800;6546318.474;-295967.4837;101108.9295;0;0;0;-1.241604838;0.493369679;355111.8537;695680.1927;3655824.087;-0.001135996;0;0;0;0;5.175430375;0;-1.241604838;0.493369679;-1.754263668;0.375815439;0.54111008;6.245736332;30643.96051;-5831.351795;0;0;86402.8;2163;0;0;2797.679461;30630.05812;-269.3227
2900;6546350.814;-295236.9209;101145.5447;0;0;0;-1.240737041;0.494357568;354528.983;695097.3129;3652761.033;-0.001135996;0;0;0;0;5.166048873;0;-1.240737041;0.494357568;-1.746052346;0.376682137;0.54199419;6.253947654;30617.0943;-5826.239325;0;0;86402.9;2163;0;0;2897.681405;30603.12585;-270.658
