Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);Doppler
500;6490558.608;40545.98769;-55965.41988;0;0;0;2.514623511;1.01960553;131963.0894;472530.0991;2483162.431;-0.001136;0;0;0;0;2.889164982;0;2.514623511;1.01960553;3.30739303;-1.848097444;1.030252804;11.30739303;-5179.125194;985.554755;0;0;86400.5;2163;0;0;498.4238093;-5285.027191
600;6490558.797;41238.44164;-55695.66727;0;0;0;2.504248026;1.018370717;132063.6601;472630.6726;2483690.948;-0.001136;0;0;0;0;2.89135198;0;2.504248026;1.018370717;3.29676847;-1.858472279;1.029047499;11.29676847;-5391.144806;1025.900746;0;0;86400.6;2163;0;0;598.4234738;-5496.796581
700;6490558.902;41930.89491;-55425.91388;0;0;0;2.49393084;1.017089712;132168.2607;472735.2761;2484240.643;-0.001136;0;0;0;0;2.893628942;0;2.49393084;1.017089712;3.285746463;-1.868788816;1.027797144;11.28574646;-5602.67045;1066.152737;0;0;86400.7;2163;0;0;698.4231249;-5708.063195
800;6490558.923;42623.34747;-55156.15972;0;0;0;2.483673642;1.015763149;132276.8815;472843.8999;2484811.465;-0.001136;0;0;0;0;2.895995663;0;2.483673642;1.015763149;3.274332457;-1.879045365;1.026502363;11.27433246;-5813.684506;1106.307377;0;0;86400.8;2163;0;0;798.4227625;-5918.809404
900;6490558.86;43315.79932;-54886.40479;0;0;0;2.473478048;1.014391674;132389.5127;472956.5342;2485403.362;-0.001136;0;0;0;0;2.898451931;0;2.473478048;1.014391674;3.262532033;-1.889240309;1.025163794;11.26253203;-6024.169398;1146.36132;0;0;86400.9;2163;0;0;898.4223868;-6129.017801
1000;6490558.713;44008.25045;-54616.64909;0;0;0;2.463345605;1.012975953;132506.144;473073.1687;2486016.281;-0.001136;0;0;0;0;2.900997526;0;2.463345605;1.012975953;3.250350899;-1.899372104;1.023782091;11.2503509;-6234.107814;1186.311273;0;0;86401;2163;0;0;998.4219978;-6338.671235
1100;6490558.481;44700.70086;-54346.89264;0;0;0;2.453277788;1.011516662;132626.7649;473193.7929;2486650.165;-0.001136;0;0;0;0;2.903632224;0;2.453277788;1.011516662;3.236202832;-1.909439272;1.022357921;11.23620283;-6443.482826;1226.154012;0;0;86401.1;2163;0;0;1098.421595;-6547.75278
1200;6490558.166;45393.15053;-54077.13542;0;0;0;2.443276003;1.01001449;132751.3645;473318.3958;2487304.958;-0.001136;0;0;0;0;2.906355792;0;2.443276003;1.01001449;3.220189248;-1.919440409;1.020891961;11.22018925;-6652.277462;1265.886311;0;0;86401.2;2163;0;0;1198.42118;-6756.24576
1300;6490557.766;46085.59946;-53807.37746;0;0;0;2.433341583;1.00847014;132879.9316;473446.9664;2487980.601;-0.001136;0;0;0;0;2.90916799;0;2.433341583;1.00847014;3.20372603;-1.929374182;1.019384904;11.20372603;-6860.475332;1305.505048;0;0;86401.3;2163;0;0;1298.420751;-6964.13376
1400;6490557.282;46778.04763;-53537.61874;0;0;0;2.423475789;1.006884324;133012.4547;473579.4929;2488677.033;-0.001136;0;0;0;0;2.912068574;0;2.423475789;1.006884324;3.186820774;-1.939239328;1.017837451;11.18682077;-7068.060082;1345.007113;0;0;86401.4;2163;0;0;1398.420309;-7171.400614
1500;6490556.713;47470.49504;-53267.85928;0;0;0;2.413679814;1.005257765;133148.9219;473715.9638;2489394.192;-0.001136;0;0;0;0;2.915057291;0;2.413679814;1.005257765;3.169481187;-1.949034656;1.016250313;11.16948119;-7275.015643;1384.389446;0;0;86401.5;2163;0;0;1498.419854;-7378.030438
1600;6490556.061;48162.94168;-52998.09907;0;0;0;2.403954778;1.003591195;133289.3211;473856.3667;2490132.014;-0.001136;0;0;0;0;2.918133884;0;2.403954778;1.003591195;3.151715068;-1.958759045;1.014624212;11.15171507;-7481.326381;1423.649074;0;0;86401.6;2163;0;0;1598.419385;-7584.007601
1700;6490555.324;48855.38755;-52728.33813;0;0;0;2.394301733;1.001885354;133433.64;474000.6894;2490890.435;-0.001136;0;0;0;0;2.921298087;0;2.394301733;1.001885354;3.133530309;-1.968411444;1.012959875;11.13353031;-7686.97661;1462.783012;0;0;86401.7;2163;0;0;1698.418904;-7789.31674
1800;6490554.504;49547.83262;-52458.57645;0;0;0;2.38472166;1.000140989;133581.8658;474148.9191;2491669.387;-0.001136;0;0;0;0;2.924549631;0;2.38472166;1.000140989;3.114934876;-1.97799087;1.011258038;11.11493488;-7891.951303;1501.788399;0;0;86401.8;2163;0;0;1798.418409;-7993.942808
1900;6490553.599;50240.27691;-52188.81405;0;0;0;2.375215475;0.998358855;133733.9854;474301.0427;2492468.802;-0.001136;0;0;0;0;2.927888239;0;2.375215475;0.998358855;3.095936808;-1.987496409;1.009519444;11.09593681;-8096.235439;1540.662378;0;0;86401.9;2163;0;0;1898.417902;-8197.870986
2000;6490552.609;50932.72038;-51919.05091;0;0;0;2.365784022;0.99653971;133889.9857;474457.0471;2493288.611;-0.001136;0;0;0;0;2.931313629;0;2.365784022;0.99653971;3.076544202;-1.996927217;1.00774484;11.0765442;-8299.81434;1579.402154;0;0;86402;2163;0;0;1998.417382;-8401.086781
2100;6490551.536;51625.16305;-51649.28706;0;0;0;2.356428081;0.99468432;134049.8531;474616.9186;2494128.741;-0.001136;0;0;0;0;2.934825513;0;2.356428081;0.99468432;3.056528222;-2.006282512;1.005934979;11.05652822;-8502.673775;1618.005021;0;0;86402.1;2163;0;0;2098.416848;-8603.575978
2200;6490550.379;52317.60489;-51379.52248;0;0;0;2.347148369;0.992793453;134213.5737;474780.6434;2494989.121;-0.001136;0;0;0;0;2.938423598;0;2.347148369;0.992793453;3.033448979;-2.01556158;1.004090618;11.03344898;-8704.799479;1656.468264;0;0;86402.2;2163;0;0;2198.416302;-8805.324661
2300;6490549.137;53010.0459;-51109.75719;0;0;0;2.337945534;0.99086788;134381.1335;474948.2075;2495869.676;-0.001136;0;0;0;0;2.942107585;0;2.337945534;0.99086788;3.009946131;-2.02476377;1.002212516;11.00994613;-8906.177862;1694.789296;0;0;86402.3;2163;0;0;2298.415743;-9006.319195
2400;6490547.811;53702.48608;-50839.99119;0;0;0;2.328820164;0.988908375;134552.518;475119.5964;2496770.331;-0.001136;0;0;0;0;2.945877169;0;2.328820164;0.988908375;2.986029127;-2.033888494;1.000301435;10.98602913;-9106.795354;1732.965535;0;0;86402.4;2163;0;0;2398.415172;-9206.546252
2500;6490546.401;54394.92541;-50570.22448;0;0;0;2.319772787;0.986915715;134727.7128;475294.7957;2497691.009;-0.001136;0;0;0;0;2.94973204;0;2.319772787;0.986915715;2.961707436;-2.042935228;0.998358139;10.96170744;-9306.638747;1770.994469;0;0;86402.5;2163;0;0;2498.414587;-9405.992825
