Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);Doppler
2600;6490544.907;55087.36388;-50300.45707;0;0;0;2.310803867;0.984890675;134906.7029;475473.7904;2498631.633;-0.001136;0;0;0;0;2.953671885;0;2.310803867;0.984890675;2.936990537;-2.051903504;0.996383392;10.93699054;-9505.69532;1808.873675;0;0;86402.6;2163;0;0;2598.41399;-9604.646172
2700;6490543.328;55779.80149;-50030.68896;0;0;0;2.301913813;0.982834034;135089.4732;475656.5654;2499592.122;-0.001136;0;0;0;0;2.957696383;0;2.301913813;0.982834034;2.911887914;-2.060792914;0.994377959;10.91188791;-9703.952269;1846.600718;0;0;86402.7;2163;0;0;2698.41338;-9802.493896
2800;6490541.666;56472.23823;-49760.92015;0;0;0;2.293102976;0.980746566;135276.0085;475843.1053;2500572.396;-0.001136;0;0;0;0;2.96180521;0;2.293102976;0.980746566;2.886409045;-2.069603108;0.992342604;10.88640905;-9901.397564;1884.173308;0;0;86402.8;2163;0;0;2798.412758;-9999.523878
2900;6490539.919;57164.67409;-49491.15065;0;0;0;2.28437165;0.978629049;135466.2931;476033.3948;2501572.374;-0.001136;0;0;0;0;2.965998037;0;2.28437165;0.978629049;2.860563396;-2.078333791;0.990278092;10.8605634;-10098.01915;1921.589151;0;0;86402.9;2163;0;0;2898.412124;-10195.72434
3000;6490538.088;57857.10906;-49221.38046;0;0;0;2.275720078;0.976482256;135660.3113;476227.4179;2502591.972;-0.001136;0;0;0;0;2.970274529;0;2.275720078;0.976482256;2.833427075;-2.08698472;0.988185183;10.83342708;-10293.80533;1958.846023;0;0;86403;2163;0;0;2998.411476;-10391.08378
3100;6490536.173;58549.54313;-48951.60958;0;0;0;2.267148448;0.974306957;135858.047;476425.1586;2503631.107;-0.001136;0;0;0;0;2.974634349;0;2.267148448;0.974306957;2.804625612;-2.095555707;0.986064637;10.80462561;-10488.74495;1995.9418;0;0;86403.1;2163;0;0;3098.410817;-10585.59102
3200;6490534.174;59241.9763;-48681.83803;0;0;0;2.2586569;0.972103923;136059.4841;476626.6008;2504689.692;-0.001136;0;0;0;0;2.979077153;0;2.2586569;0.972103923;2.775456916;-2.104046613;0.983917211;10.77545692;-10682.82673;2032.874334;0;0;86403.2;2163;0;0;3198.410145;-10779.23523
3300;6490532.09;59934.40855;-48412.06579;0;0;0;2.250245524;0.969873918;136264.6061;476831.728;2505767.643;-0.001136;0;0;0;0;2.983602594;0;2.250245524;0.969873918;2.745931117;-2.112457348;0.981743657;10.74593112;-10876.04023;2069.64164;0;0;86403.3;2163;0;0;3298.409461;-10972.00583
3400;6490529.923;60626.83988;-48142.29289;0;0;0;2.241914362;0.967617702;136473.3965;477040.5236;2506864.871;-0.001136;0;0;0;0;2.988210322;0;2.241914362;0.967617702;2.716058294;-2.120787868;0.979544725;10.71605829;-11068.37493;2106.241717;0;0;86403.4;2163;0;0;3398.408764;-11163.89261
3500;6490527.671;61319.27028;-47872.51931;0;0;0;2.233663413;0.965336034;136685.8383;477252.9707;2507981.288;-0.001136;0;0;0;0;2.992899982;0;2.233663413;0.965336034;2.685848466;-2.129038176;0.97732116;10.68584847;-11259.82071;2142.672638;0;0;86403.5;2163;0;0;3498.408055;-11354.88565
3600;6490525.335;62011.69973;-47602.74507;0;0;0;2.22549263;0.963029664;136901.9146;477469.0524;2509116.805;-0.001136;0;0;0;0;2.997671213;0;2.22549263;0.963029664;2.655311587;-2.137208317;0.975073701;10.65531159;-11450.36801;2178.932584;0;0;86403.6;2163;0;0;3598.407335;-11544.97533
3700;6490522.915;62704.12824;-47332.97016;0;0;0;2.217401927;0.96069934;137121.6081;477688.7514;2510271.332;-0.001136;0;0;0;0;3.002523655;0;2.217401927;0.96069934;2.624457539;-2.14529838;0.972803083;10.62445754;-11640.00707;2215.019697;0;0;86403.7;2163;0;0;3698.406602;-11734.15239
3800;6490520.411;63396.5558;-47063.1946;0;0;0;2.209391174;0.958345801;137344.9016;477912.0505;2511444.776;-0.001136;0;0;0;0;3.00745694;0;2.209391174;0.958345801;2.592465678;-2.153308493;0.970510036;10.59246568;-11828.72905;2250.932296;0;0;86403.8;2163;0;0;3798.405857;-11922.40782
3900;6490517.822;64088.98238;-46793.41839;0;0;0;2.201460205;0.955969782;137571.7775;478138.932;2512637.047;-0.001136;0;0;0;0;3.012470698;0;2.201460205;0.955969782;2.559761955;-2.161238821;0.968195281;10.55976195;-12016.52501;2286.668678;0;0;86403.9;2163;0;0;3898.4051;-12109.73298
4000;6490515.149;64781.408;-46523.64152;0;0;0;2.193608817;0.95357201;137802.2181;478369.3783;2513848.05;-0.001136;0;0;0;0;3.017564557;0;2.193608817;0.95357201;2.52675883;-2.169089569;0.965859535;10.52675883;-12203.38637;2322.227213;0;0;86404;2163;0;0;3998.404332;-12296.11952
4100;6490512.393;65473.83263;-46253.864;0;0;0;2.185836772;0.951153207;138036.2054;478603.3715;2515077.693;-0.001136;0;0;0;0;3.02273814;0;2.185836772;0.951153207;2.493466224;-2.176860976;0.963503507;10.49346622;-12389.30515;2357.60638;0;0;86404.1;2163;0;0;4098.403551;-12481.55939
4200;6490509.552;66166.25627;-45984.08585;0;0;0;2.178143796;0.948714086;138273.7216;478840.8936;2516325.879;-0.001136;0;0;0;0;3.027991068;0;2.178143796;0.948714086;2.459893958;-2.184553312;0.961127899;10.45989396;-12574.27315;2392.804621;0;0;86404.2;2163;0;0;4198.402759;-12666.04485
4300;6490506.626;66858.67892;-45714.30705;0;0;0;2.170529587;0.946255353;138514.7484;479081.9263;2517592.515;-0.001136;0;0;0;0;3.033322959;0;2.170529587;0.946255353;2.426051745;-2.192166883;0.958733406;10.42605175;-12758.28311;2427.820551;0;0;86404.3;2163;0;0;4298.401955;-12849.56852
4400;6490503.617;67551.10055;-45444.52762;0;0;0;2.162993809;0.943777705;138759.2676;479326.4515;2518877.504;-0.001136;0;0;0;0;3.038733427;0;2.162993809;0.943777705;2.391949193;-2.199702021;0.956320714;10.39194919;-12941.32759;2462.652758;0;0;86404.4;2163;0;0;4398.401139;-13032.12323
4500;6490500.523;68243.52118;-45174.74755;0;0;0;2.1555361;0.941281832;139007.2607;479574.4507;2520180.748;-0.001136;0;0;0;0;3.044222084;0;2.1555361;0.941281832;2.357580131;-2.207159092;0.953890502;10.35758013;-13123.39959;2497.299907;0;0;86404.5;2163;0;0;4498.400312;-13213.70221
4600;6490497.346;68935.94077;-44904.96686;0;0;0;2.148156069;0.938768416;139258.7091;479825.9053;2521502.151;-0.001136;0;0;0;0;3.04978854;0;2.148156069;0.938768416;2.322952347;-2.214538485;0.951443441;10.32295235;-13304.49266;2531.760774;0;0;86404.6;2163;0;0;4598.399473;-13394.29893
4700;6490494.084;69628.35934;-44635.18554;0;0;0;2.1408533;0.936238129;139513.5941;480080.7966;2522841.614;-0.001136;0;0;0;0;3.055432402;0;2.1408533;0.936238129;2.288092131;-2.221840616;0.948980192;10.28809213;-13484.60013;2566.034084;0;0;86404.7;2163;0;0;4698.398623;-13573.90719
4800;6490490.738;70320.77686;-44365.40361;0;0;0;2.133627352;0.933691635;139771.897;480339.1059;2524199.038;-0.001136;0;0;0;0;3.061153274;0;2.133627352;0.933691635;2.253008628;-2.229065927;0.946501408;10.25300863;-13663.71624;2600.118748;0;0;86404.8;2163;0;0;4798.397761;-13752.52109
4900;6490487.308;71013.19334;-44095.62105;0;0;0;2.126477763;0.931129589;140033.5987;480600.8141;2525574.324;-0.001136;0;0;0;0;3.06695076;0;2.126477763;0.931129589;2.21771086;-2.236214878;0.944007734;10.21771086;-13841.8351;2634.013639;0;0;86404.9;2163;0;0;4898.396888;-13930.135
5000;6490483.793;71705.60876;-43825.83788;0;0;0;2.119404047;0.928552636;140298.6804;480865.9022;2526967.372;-0.001136;0;0;0;0;3.072824458;0;2.119404047;0.928552636;2.182207719;-2.243287957;0.941499804;10.18220772;-14018.95116;2667.717706;0;0;86405;2163;0;0;4998.396004;-14106.74362
5100;6490480.195;72398.02311;-43556.05411;0;0;0;2.1124057;0.925961413;140567.1228;481134.3512;2528378.081;-0.001136;0;0;0;0;3.078773969;0;2.1124057;0.925961413;2.146507969;-2.250285668;0.938978244;10.14650797;-14195.05949;2701.230006;0;0;86405.1;2163;0;0;5098.395109;-14282.3419
5200;6490476.512;73090.43639;-43286.26973;0;0;0;2.105482198;0.923356546;140838.9067;481406.1418;2529806.35;-0.001136;0;0;0;0;3.084798887;0;2.105482198;0.923356546;2.111450312;-2.257208533;0.936443671;10.11145031;-14370.15486;2734.549547;0;0;86405.2;2163;0;0;5198.394202;-14456.92512
5300;6490472.745;73782.84858;-43016.48474;0;0;0;2.098632999;0.920738651;141114.0129;481681.2547;2531252.078;-0.001136;0;0;0;0;3.090898809;0;2.098632999;0.920738651;2.07668592;-2.264057096;0.933896692;10.07668592;-14544.233;2767.675516;0;0;86405.3;2163;0;0;5298.393284;-14630.48881
5400;6490468.894;74475.25969;-42746.69916;0;0;0;2.091857547;0.918108337;141392.4218;481959.6704;2532715.162;-0.001136;0;0;0;0;3.097073326;0;2.091857547;0.918108337;2.041756601;-2.270831913;0.931337903;10.0417566;-14717.28945;2800.607062;0;0;86405.4;2163;0;0;5398.392356;-14803.02881
5500;6490464.958;75167.66969;-42476.91298;0;0;0;2.085155267;0.915466201;141674.1141;482241.3696;2534195.502;-0.001136;0;0;0;0;3.103322031;0;2.085155267;0.915466201;2.006670287;-2.277533557;0.928767892;10.00667029;-14889.32009;2833.343405;0;0;86405.5;2163;0;0;5498.391416;-14974.5412
5600;6490460.939;75860.07859;-42207.12622;0;0;0;2.078525574;0.91281283;141959.0701;482526.3326;2535692.992;-0.001136;0;0;0;0;3.109644515;0;2.078525574;0.91281283;1.971434781;-2.284162615;0.926187238;9.971434781;-15060.32144;2865.88388;0;0;86405.6;2163;0;0;5598.390465;-15145.02238
5700;6490456.835;76552.48637;-41937.33886;0;0;0;2.071967867;0.910148802;142247.2703;482814.5398;2537207.531;-0.001136;0;0;0;0;3.116040364;0;2.071967867;0.910148802;1.936057753;-2.290719687;0.923596508;9.936057753;-15230.2896;2898.227745;0;0;86405.7;2163;0;0;5698.389504;-15314.46899
5800;6490452.648;77244.89303;-41667.55093;0;0;0;2.065481536;0.907474684;142538.695;483105.9716;2538739.016;-0.001136;0;0;0;0;3.122509169;0;2.065481536;0.907474684;1.900644076;-2.297205384;0.92099626;9.900644076;-15399.22175;2930.374464;0;0;86405.8;2163;0;0;5798.388532;-15482.87796
5900;6490448.376;77937.29855;-41397.76241;0;0;0;2.059065958;0.904791034;142833.3243;483400.6081;2540287.341;-0.001136;0;0;0;0;3.129050514;0;2.059065958;0.904791034;1.867712687;-2.303620326;0.918387043;9.867712687;-15567.11475;2962.323441;0;0;86405.9;2163;0;0;5898.387549;-15650.24646
6000;6490444.019;78629.70294;-41127.97332;0;0;0;2.052720501;0.902098399;143131.1386;483698.4296;2541852.404;-0.001136;0;0;0;0;3.135663987;0;2.052720501;0.902098399;1.834671044;-2.30996515;0.915769394;9.834671044;-15733.96585;2994.074149;0;0;86406;2163;0;0;5998.386556;-15816.57194
6100;6490439.579;79322.10617;-40858.18366;0;0;0;2.046444525;0.899397317;143432.118;483999.4163;2543434.099;-0.001136;0;0;0;0;3.142349171;0;2.046444525;0.899397317;1.801525741;-2.316240493;0.913143841;9.801525741;-15899.7729;3025.626183;0;0;86406.1;2163;0;0;6098.385552;-15981.85209
6200;6490435.055;80014.50824;-40588.39343;0;0;0;2.040237379;0.896688314;143736.2425;484303.5482;2545032.323;-0.001136;0;0;0;0;3.149105651;0;2.040237379;0.896688314;1.768283248;-2.322447005;0.910510904;9.768283248;-16064.53332;3056.979047;0;0;86406.2;2163;0;0;6198.384537;-16146.08489
6300;6490430.446;80706.90915;-40318.60263;0;0;0;2.034098409;0.893971908;144043.4923;484610.8055;2546646.971;-0.001136;0;0;0;0;3.15593301;0;2.034098409;0.893971908;1.734949911;-2.328585342;0.907871091;9.734949911;-16228.24557;3088.132452;0;0;86406.3;2163;0;0;6298.383512;-16309.26851
6400;6490425.753;81399.30889;-40048.81128;0;0;0;2.028026953;0.891248607;144353.8474;484921.1681;2548277.938;-0.001136;0;0;0;0;3.162830831;0;2.028026953;0.891248607;1.701531952;-2.334656165;0.905224899;9.701531952;-16390.90779;3119.086045;0;0;86406.4;2163;0;0;6398.382477;-16471.40142
6500;6490420.976;82091.70744;-39779.01937;0;0;0;2.022022343;0.888518906;144667.2877;485234.616;2549925.118;-0.001136;0;0;0;0;3.169798697;0;2.022022343;0.888518906;1.67046462;-2.340660143;0.902572818;9.67046462;-16552.51848;3149.839536;0;0;86406.5;2163;0;0;6498.381432;-16632.48231
6600;6490416.115;82784.1048;-39509.2269;0;0;0;2.016083906;0.885783293;144983.7933;485551.1293;2551588.406;-0.001136;0;0;0;0;3.17683619;0;2.016083906;0.885783293;1.641051415;-2.346597947;0.899915326;9.641051415;-16713.07674;3180.392757;0;0;86406.6;2163;0;0;6598.380376;-16792.51009
6700;6490411.17;83476.50096;-39239.43389;0;0;0;2.010210967;0.883042246;145303.3442;485870.6879;2553267.698;-0.001136;0;0;0;0;3.183942891;0;2.010210967;0.883042246;1.611579775;-2.352470254;0.897252891;9.611579775;-16872.58117;3210.745441;0;0;86406.7;2163;0;0;6698.37931;-16951.48392
6800;6490406.14;84168.89591;-38969.64033;0;0;0;2.004402846;0.88029623;145625.9202;486193.2717;2554962.887;-0.001136;0;0;0;0;3.191118382;0;2.004402846;0.88029623;1.58205472;-2.358277743;0.894585974;9.58205472;-17031.03146;3240.897528;0;0;86406.8;2163;0;0;6798.378234;-17109.4032
6900;6490401.026;84861.28964;-38699.84623;0;0;0;1.998658862;0.877545704;145951.5013;486518.8607;2556673.869;-0.001136;0;0;0;0;3.198362245;0;1.998658862;0.877545704;1.552481169;-2.364021096;0.891915022;9.552481169;-17188.42692;3270.848889;0;0;86406.9;2163;0;0;6898.377148;-17266.26753
7000;6490395.829;85553.68215;-38430.05159;0;0;0;1.99297833;0.874791115;146280.0674;486847.4348;2558400.538;-0.001136;0;0;0;0;3.205674061;0;1.99297833;0.874791115;1.522863933;-2.369700997;0.889240476;9.522863933;-17344.76718;3300.599451;0;0;86407;2163;0;0;6998.376052;-17422.07674
7100;6490390.547;86246.07343;-38160.25642;0;0;0;1.987360566;0.872032901;146611.5985;487178.9739;2560142.787;-0.001136;0;0;0;0;3.213053412;0;1.987360566;0.872032901;1.49394248;-2.37531813;0.886562766;9.49394248;-17500.05249;3330.149263;0;0;86407.1;2163;0;0;7098.374946;-17576.83088
7200;6490385.18;86938.46347;-37890.46071;0;0;0;1.981804883;0.86927149;146946.0745;487513.4579;2561900.513;-0.001136;0;0;0;0;3.220499881;0;1.981804883;0.86927149;1.4674637;-2.380873183;0.883882312;9.4674637;-17654.28256;3359.498269;0;0;86407.2;2163;0;0;7198.37383;-17730.53021
7300;6490379.73;87630.85225;-37620.66448;0;0;0;1.976310595;0.8665073;147283.4753;487850.8669;2563673.609;-0.001136;0;0;0;0;3.228013048;0;1.976310595;0.8665073;1.440958276;-2.386366841;0.881199526;9.440958276;-17807.45815;3388.646615;0;0;86407.3;2163;0;0;7298.372705;-17883.17518
7400;6490374.195;88323.23978;-37350.86773;0;0;0;1.970877015;0.863740741;147623.7808;488191.1806;2565461.969;-0.001136;0;0;0;0;3.235592498;0;1.970877015;0.863740741;1.414430132;-2.391799789;0.878514808;9.414430132;-17959.57966;3417.594376;0;0;86407.4;2163;0;0;7398.37157;-18034.76647
7500;6490368.577;89015.62604;-37081.07046;0;0;0;1.96550346;0.860972212;147966.971;488534.3791;2567265.49;-0.001136;0;0;0;0;3.243237812;0;1.96550346;0.860972212;1.3878831;-2.397172716;0.875828552;9.3878831;-18110.64775;3446.341676;0;0;86407.5;2163;0;0;7498.370425;-18185.30494
7600;6490362.874;89708.01102;-36811.27267;0;0;0;1.960189245;0.858202103;148313.0258;488880.4422;2569084.064;-0.001136;0;0;0;0;3.250948575;0;1.960189245;0.858202103;1.361320924;-2.402486302;0.873141141;9.361320924;-18260.6637;3474.888762;0;0;86407.6;2163;0;0;7598.36927;-18334.79164
7700;6490357.087;90400.39472;-36541.47437;0;0;0;1.954933686;0.855430797;148661.9253;489229.3501;2570917.587;-0.001136;0;0;0;0;3.258724371;0;1.954933686;0.855430797;1.334747258;-2.407741231;0.870452949;9.334747258;-18409.6282;3503.235765;0;0;86407.7;2163;0;0;7698.368107;-18483.22783
7800;6490351.216;91092.77713;-36271.67557;0;0;0;1.949736105;0.852658664;149013.6494;489581.0827;2572765.955;-0.001136;0;0;0;0;3.266564785;0;1.949736105;0.852658664;1.30923126;-2.412938184;0.86776434;9.30923126;-18557.54303;3531.383022;0;0;86407.8;2163;0;0;7798.366933;-18630.61494
7900;6490345.26;91785.15824;-36001.87625;0;0;0;1.944595822;0.849886068;149368.1783;489935.6201;2574629.061;-0.001136;0;0;0;0;3.274469401;0;1.944595822;0.849886068;1.283802629;-2.418077838;0.865075673;9.283802629;-18704.40952;3559.330784;0;0;86407.9;2163;0;0;7898.365751;-18776.95457
8000;6490339.221;92477.53804;-35732.07644;0;0;0;1.939512163;0.847113364;149725.4918;490292.9423;2576506.802;-0.001136;0;0;0;0;3.282437808;0;1.939512163;0.847113364;1.258373002;-2.423160869;0.862387293;9.258373002;-18850.22925;3587.079357;0;0;86408;2163;0;0;7998.364559;-18922.24853
8100;6490333.097;93169.91652;-35462.27614;0;0;0;1.934484455;0.844340897;150085.5702;490653.0293;2578399.072;-0.001136;0;0;0;0;3.290469591;0;1.934484455;0.844340897;1.232945547;-2.428187949;0.859699541;9.232945547;-18995.00446;3614.629163;0;0;86408.1;2163;0;0;8098.363358;-19066.49875
8200;6490326.889;93862.29368;-35192.47533;0;0;0;1.92951203;0.841569003;150448.3936;491015.8615;2580305.768;-0.001136;0;0;0;0;3.29856434;0;1.92951203;0.841569003;1.207523354;-2.433159747;0.857012746;9.207523354;-19138.73668;3641.980495;0;0;86408.2;2163;0;0;8198.362147;-19209.70739
8300;6490320.597;94554.66951;-34922.67404;0;0;0;1.924594222;0.838798012;150813.9422;491381.4188;2582226.785;-0.001136;0;0;0;0;3.306721644;0;1.924594222;0.838798012;1.182109434;-2.438076927;0.85432723;9.182109434;-19281.42858;3669.133862;0;0;86408.3;2163;0;0;8298.360928;-19351.87671
8400;6490314.221;95247.04399;-34652.87227;0;0;0;1.91973037;0.836028242;151182.1962;491749.6817;2584162.019;-0.001136;0;0;0;0;3.314941094;0;1.91973037;0.836028242;1.157301381;-2.442940151;0.851643308;9.157301381;-19423.08234;3696.089676;0;0;86408.4;2163;0;0;8398.3597;-19493.00917
8500;6490307.76;95939.41712;-34383.07001;0;0;0;1.914919818;0.833260006;151553.1358;492120.6302;2586111.367;-0.001136;0;0;0;0;3.32322228;0;1.914919818;0.833260006;1.132864382;-2.447750076;0.848961285;9.132864382;-19563.70038;3722.848399;0;0;86408.5;2163;0;0;8498.358462;-19633.10739
8600;6490301.216;96631.78889;-34113.26728;0;0;0;1.910161913;0.830493607;151926.7414;492494.2448;2588074.724;-0.001136;0;0;0;0;3.331564797;0;1.910161913;0.830493607;1.108443599;-2.452507355;0.846281458;9.108443599;-19703.28573;3749.410607;0;0;86408.6;2163;0;0;8598.357216;-19772.1741
8700;6490294.587;97324.1593;-33843.46407;0;0;0;1.905456008;0.82772934;152302.9934;492870.5058;2590051.989;-0.001136;0;0;0;0;3.339968238;0;1.905456008;0.82772934;1.084041639;-2.457212634;0.843604116;9.084041639;-19841.84069;3775.77674;0;0;86408.7;2163;0;0;8698.355961;-19910.2122
