Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);Doppler;Drift
500;6471957.982;-223507.7195;-409821.4952;0;0;0;-2.642304754;0.19833766;476142.5104;816718.2483;4291883.362;-0.001135998;0;0;0;0;12.14620383;0;-2.642304754;0.19833766;-4.722254995;-0.726145684;0.270340697;3.277745005;28666.95745;-5455.140621;0;0;86400.5;2163;0;0;497.2757212;28652.53897;-270.4355
600;6471999.706;-222814.4902;-409556.2305;0;0;0;-2.643337678;0.198657563;475597.2707;816172.9909;4289018.016;-0.001135998;0;0;0;0;12.12792013;0;-2.643337678;0.198657563;-4.718468721;-0.727175474;0.270573359;3.281531279;28639.9586;-5450.00291;0;0;86400.6;2163;0;0;597.2775399;28625.49542;-271.3705
700;6472041.346;-222121.2583;-409290.9598;0;0;0;-2.644373104;0.198977823;475052.5456;815628.2483;4286155.374;-0.001135998;0;0;0;0;12.10967115;0;-2.644373104;0.198977823;-4.714678232;-0.728207767;0.270806454;3.285321768;28612.86663;-5444.847479;0;0;86400.7;2163;0;0;697.279357;28598.35837;-272.3089
800;6472082.901;-221428.0238;-409025.6831;0;0;0;-2.64541104;0.199298438;474508.3369;815084.022;4283295.446;-0.001135998;0;0;0;0;12.09145683;0;-2.64541104;0.199298438;-4.710883533;-0.729242569;0.271039981;3.289116467;28585.68074;-5439.674178;0;0;86400.8;2163;0;0;797.2811724;28571.12748;-273.2506
900;6472124.373;-220734.7867;-408760.4005;0;0;0;-2.646451491;0.199619409;473964.6465;814540.314;4280438.241;-0.001135998;0;0;0;0;12.07327717;0;-2.646451491;0.199619409;-4.707084632;-0.730279888;0.271273941;3.292915368;28558.40121;-5434.483056;0;0;86400.9;2163;0;0;897.282986;28543.80242;-274.1958
1000;6472165.761;-220041.5469;-408495.1119;0;0;0;-2.647494465;0.199940734;473421.476;813997.126;4277583.769;-0.001135998;0;0;0;0;12.05513213;0;-2.647494465;0.199940734;-4.703281535;-0.73131973;0.271508332;3.296718465;28531.02707;-5429.273929;0;0;86401;2163;0;0;997.2847979;28516.38284;-275.1443
1100;6472207.065;-219348.3046;-408229.8174;0;0;0;-2.64853997;0.200262413;472878.8272;813454.4598;4274732.039;-0.001135998;0;0;0;0;12.03702168;0;-2.64853997;0.200262413;-4.699474248;-0.732362103;0.271743156;3.300525752;28503.55822;-5424.046781;0;0;86401.1;2163;0;0;1097.286608;28488.86841;-276.0965
1200;6472248.285;-218655.0597;-407964.5169;0;0;0;-2.649588011;0.200584445;472336.7021;812912.3173;4271883.06;-0.001135998;0;0;0;0;12.0189458;0;-2.649588011;0.200584445;-4.695662779;-0.733407012;0.27197841;3.304337221;28475.99451;-5418.801582;0;0;86401.2;2163;0;0;1197.288416;28461.25876;-277.0519
1300;6472289.421;-217961.8122;-407699.2104;0;0;0;-2.650638596;0.20090683;471795.1024;812370.7001;4269036.843;-0.001135998;0;0;0;0;12.00090447;0;-2.650638596;0.20090683;-4.691847135;-0.734454466;0.272214096;3.308152865;28448.33518;-5413.538186;0;0;86401.3;2163;0;0;1297.290223;28433.55357;-278.0108
1400;6472330.473;-217268.5621;-407433.898;0;0;0;-2.651691731;0.201229568;471254.0298;811829.6102;4266193.396;-0.001135998;0;0;0;0;11.98289765;0;-2.651691731;0.201229568;-4.688027323;-0.73550447;0.272450212;3.311972677;28420.5805;-5408.256646;0;0;86401.4;2163;0;0;1397.292028;28405.75249;-278.9734
1500;6472371.441;-216575.3095;-407168.5797;0;0;0;-2.652747425;0.201552656;470713.4863;811289.0494;4263352.73;-0.001135998;0;0;0;0;11.96492533;0;-2.652747425;0.201552656;-4.684203351;-0.736557033;0.272686759;3.315796649;28392.72948;-5402.956773;0;0;86401.5;2163;0;0;1497.293831;28377.85515;-279.9391
1600;6472412.325;-215882.0544;-406903.2554;0;0;0;-2.653805683;0.201876096;470173.4737;810749.0195;4260514.854;-0.001135998;0;0;0;0;11.94698747;0;-2.653805683;0.201876096;-4.680375227;-0.737612161;0.272923736;3.319624773;28364.78201;-5397.638547;0;0;86401.6;2163;0;0;1597.295632;28349.86124;-280.9085
1700;6472453.125;-215188.7967;-406637.9252;0;0;0;-2.654866513;0.202199886;469633.9938;810209.5223;4257679.777;-0.001135998;0;0;0;0;11.92908405;0;-2.654866513;0.202199886;-4.676542958;-0.738669862;0.273161142;3.323457042;28336.73796;-5392.301942;0;0;86401.7;2163;0;0;1697.297432;28321.77039;-281.8815
1800;6472493.841;-214495.5365;-406372.589;0;0;0;-2.655929922;0.202524025;469095.0484;809670.5597;4254847.509;-0.001135998;0;0;0;0;11.91121505;0;-2.655929922;0.202524025;-4.672706552;-0.739730141;0.273398978;3.327293448;28308.59656;-5386.946812;0;0;86401.8;2163;0;0;1797.29923;28293.58224;-282.8576
1900;6472534.473;-213802.2738;-406107.2469;0;0;0;-2.656995917;0.202848513;468556.6394;809132.1336;4252018.061;-0.001135998;0;0;0;0;11.89338045;0;-2.656995917;0.202848513;-4.668866018;-0.740793006;0.273637242;3.331133982;28280.35807;-5381.573205;0;0;86401.9;2163;0;0;1897.301026;28265.29648;-283.8378
2000;6472575.02;-213109.0085;-405841.8989;0;0;0;-2.658064505;0.203173349;468018.7687;808594.2457;4249191.441;-0.001135998;0;0;0;0;11.87558022;0;-2.658064505;0.203173349;-4.665021363;-0.741858465;0.273875935;3.334978637;28252.0215;-5376.180934;0;0;86402;2163;0;0;1997.30282;28236.9127;-284.8209
2100;6472615.484;-212415.7408;-405576.545;0;0;0;-2.659135693;0.203498533;467481.4381;808056.898;4246367.66;-0.001135998;0;0;0;0;11.85781433;0;-2.659135693;0.203498533;-4.661172596;-0.742926524;0.274115056;3.338827404;28223.58674;-5370.76998;0;0;86402.1;2163;0;0;2097.304612;28208.43061;-285.808
2200;6472655.864;-211722.4706;-405311.1852;0;0;0;-2.660209488;0.203824063;466944.6496;807520.0923;4243546.727;-0.001135998;0;0;0;0;11.84008277;0;-2.660209488;0.203824063;-4.657319726;-0.743997191;0.274354605;3.342680274;28195.05362;-5365.340308;0;0;86402.2;2163;0;0;2197.306403;28179.84981;-286.7983
2300;6472696.16;-211029.1979;-405045.8194;0;0;0;-2.661285897;0.204149939;466408.4048;806983.8306;4240728.652;-0.001135998;0;0;0;0;11.82238552;0;-2.661285897;0.204149939;-4.653462762;-0.745070471;0.274594581;3.346537238;28166.42143;-5359.891783;0;0;86402.3;2163;0;0;2297.308192;28151.16998;-287.7924
2400;6472736.372;-210335.9227;-404780.4478;0;0;0;-2.662364928;0.204476161;465872.7059;806448.1146;4237913.446;-0.001135998;0;0;0;0;11.80472254;0;-2.662364928;0.204476161;-4.649601712;-0.746146374;0.274834983;3.350398288;28137.69035;-5354.42444;0;0;86402.4;2163;0;0;2397.309979;28122.39074;-288.79
2500;6472776.5;-209642.645;-404515.0702;0;0;0;-2.663446586;0.204802727;465337.5546;805912.9463;4235101.117;-0.001135998;0;0;0;0;11.78709381;0;-2.663446586;0.204802727;-4.645736587;-0.747224905;0.275075812;3.354263413;28108.85942;-5348.938098;0;0;86402.5;2163;0;0;2497.311764;28093.51174;-289.791
