Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);Doppler;Drift
500;6534742.53;-143141.6471;478437.8295;0;0;0;-0.290709352;0.303876159;523370.9829;863942.2667;4540047.254;-0.001135996;0;0;0;0;8.125751095;0;-0.290709352;0.303876159;-3.478065892;1.423225111;0.380148962;4.521934108;4927.526231;-937.6770643;0;0;86400.5;2163;0;0;497.1181988;4901.742041;-514.21983
600;6534750.189;-142417.463;478549.3996;0;0;0;-0.289255738;0.303947399;523277.7058;863848.9881;4539557.072;-0.001135996;0;0;0;0;8.123953032;0;-0.289255738;0.303947399;-3.477271702;1.424673967;0.380204875;4.522728298;4876.116939;-927.8942014;0;0;86400.6;2163;0;0;597.1185099;4850.320058;-514.49252
700;6534757.767;-141693.277;478660.9629;0;0;0;-0.287801543;0.304017915;523185.4073;863756.688;4539072.032;-0.001135996;0;0;0;0;8.122174042;0;-0.287801543;0.304017915;-3.476485576;1.426123404;0.380260225;4.523514424;4824.680304;-918.1061352;0;0;86400.7;2163;0;0;697.1188178;4798.870806;-514.76241
800;6534765.264;-140969.0891;478772.5194;0;0;0;-0.286346775;0.304087707;523094.0878;863665.367;4538592.137;-0.001135996;0;0;0;0;8.120414126;0;-0.286346775;0.304087707;-3.475707526;1.427573414;0.380315011;4.524292474;4773.216479;-908.3128949;0;0;86400.8;2163;0;0;797.1191224;4747.394565;-515.02968
900;6534772.679;-140244.8994;478884.0692;0;0;0;-0.284891438;0.304156774;523003.7479;863575.0256;4538117.389;-0.001135996;0;0;0;0;8.118673289;0;-0.284891438;0.304156774;-3.474937567;1.429023993;0.380369232;4.525062433;4721.725862;-898.5145562;0;0;86400.9;2163;0;0;897.1194238;4695.891597;-515.29412
1000;6534780.012;-139520.7078;478995.6121;0;0;0;-0.283435538;0.304225113;522914.3881;863485.6643;4537647.792;-0.001135996;0;0;0;0;8.116951534;0;-0.283435538;0.304225113;-3.474175709;1.430475133;0.380422887;4.525824291;4670.208619;-888.7111508;0;0;86401;2163;0;0;997.1197219;4644.362185;-515.55592
1100;6534787.263;-138796.5144;479107.1483;0;0;0;-0.281979081;0.304292725;522826.0088;863397.2835;4537183.348;-0.001135996;0;0;0;0;8.115248863;0;-0.281979081;0.304292725;-3.473421965;1.431926831;0.380475974;4.526578035;4618.665041;-878.902734;0;0;86401.1;2163;0;0;1097.120017;4592.806593;-515.815
1200;6534794.433;-138072.3192;479218.6776;0;0;0;-0.280522074;0.304359608;522738.6106;863309.8839;4536724.06;-0.001135996;0;0;0;0;8.11356528;0;-0.280522074;0.304359608;-3.472676348;1.43337908;0.380528494;4.527323652;4567.095471;-869.0893712;0;0;86401.2;2163;0;0;1197.120308;4541.225093;-516.07128
1300;6534801.521;-137348.1222;479330.2002;0;0;0;-0.279064521;0.30442576;522652.194;863223.4658;4536269.93;-0.001135996;0;0;0;0;8.111900787;0;-0.279064521;0.30442576;-3.471938869;1.434831874;0.380580445;4.528061131;4515.500083;-859.2710953;0;0;86401.3;2163;0;0;1297.120596;4489.617965;-516.32489
1400;6534808.528;-136623.9233;479441.716;0;0;0;-0.277606429;0.304491182;522566.7594;863138.0298;4535820.961;-0.001135996;0;0;0;0;8.110255389;0;-0.277606429;0.304491182;-3.47120954;1.436285207;0.380631826;4.52879046;4463.879257;-849.4479787;0;0;86401.4;2163;0;0;1397.120881;4437.985476;-516.57561
1500;6534815.453;-135899.7227;479553.225;0;0;0;-0.276147803;0.304555872;522482.3073;863053.5764;4535377.155;-0.001135996;0;0;0;0;8.108629088;0;-0.276147803;0.304555872;-3.470488374;1.437739073;0.380682636;4.529511626;4412.233177;-839.6200564;0;0;86401.5;2163;0;0;1497.121163;4386.327915;-516.82365
1600;6534822.296;-135175.5202;479664.7272;0;0;0;-0.27468865;0.304619828;522398.8383;862970.106;4534938.515;-0.001135996;0;0;0;0;8.107021886;0;-0.27468865;0.304619828;-3.469775382;1.439193467;0.380732874;4.530224618;4360.562139;-829.7873848;0;0;86401.6;2163;0;0;1597.121442;4334.64555;-517.069
1700;6534829.058;-134451.316;479776.2226;0;0;0;-0.273228975;0.30468305;522316.3527;862887.6191;4534505.044;-0.001135996;0;0;0;0;8.105433788;0;-0.273228975;0.30468305;-3.469070575;1.440648382;0.380782539;4.530929425;4308.866477;-819.9500275;0;0;86401.7;2163;0;0;1697.121717;4282.93865;-517.31148
1800;6534835.738;-133727.11;479887.7112;0;0;0;-0.271768784;0.304745537;522234.8511;862806.1161;4534076.743;-0.001135996;0;0;0;0;8.103864795;0;-0.271768784;0.304745537;-3.468373966;1.442103813;0.38083163;4.531626034;4257.14638;-810.1080202;0;0;86401.8;2163;0;0;1797.121989;4231.207502;-517.5511
1900;6534842.336;-133002.9023;479999.193;0;0;0;-0.270308084;0.304807287;522154.3339;862725.5976;4533653.615;-0.001135996;0;0;0;0;8.102314911;0;-0.270308084;0.304807287;-3.467685565;1.443559754;0.380880146;4.532314435;4205.402233;-800.2614365;0;0;86401.9;2163;0;0;1897.122257;4179.452392;-517.78815
2000;6534848.853;-132278.6928;480110.668;0;0;0;-0.268846879;0.3048683;522074.8016;862646.064;4533235.663;-0.001135996;0;0;0;0;8.100784138;0;-0.268846879;0.3048683;-3.467005384;1.445016199;0.380928087;4.532994616;4153.634214;-790.4103101;0;0;86402;2163;0;0;1997.122522;4127.673577;-518.02222
2100;6534855.288;-131554.4815;480222.1362;0;0;0;-0.267385177;0.304928575;521996.2545;862567.5157;4532822.889;-0.001135996;0;0;0;0;8.09927248;0;-0.267385177;0.304928575;-3.466333434;1.446473142;0.380975451;4.533666566;4101.842623;-780.554698;0;0;86402.1;2163;0;0;2097.122784;4075.871355;-518.25354
2200;6534861.642;-130830.2685;480333.5976;0;0;0;-0.265922982;0.30498811;521918.6933;862489.9532;4532415.295;-0.001135996;0;0;0;0;8.09777994;0;-0.265922982;0.30498811;-3.465669725;1.447930576;0.381022237;4.534330275;4050.027808;-770.6946665;0;0;86402.2;2163;0;0;2197.123043;4024.046001;-518.48203
2300;6534867.913;-130106.0538;480445.0522;0;0;0;-0.264460301;0.305046905;521842.1182;862413.3769;4532012.884;-0.001135996;0;0;0;0;8.096306519;0;-0.264460301;0.305046905;-3.46501427;1.449388497;0.381068445;4.53498573;3998.189946;-760.8302494;0;0;86402.3;2163;0;0;2297.123299;3972.197798;-518.70779
2400;6534874.104;-129381.8374;480556.5;0;0;0;-0.26299714;0.305104959;521766.5298;862337.7873;4531615.658;-0.001135996;0;0;0;0;8.094852221;0;-0.26299714;0.305104959;-3.464367077;1.450846898;0.381114074;4.535632923;3946.329434;-750.961522;0;0;86402.4;2163;0;0;2397.123551;3920.327019;-518.93065
2500;6534880.212;-128657.6193;480667.9409;0;0;0;-0.261533505;0.305162271;521691.9285;862263.1848;4531223.619;-0.001135996;0;0;0;0;8.093417049;0;-0.261533505;0.305162271;-3.463728159;1.452305772;0.381159123;4.536271841;3894.446458;-741.08852;0;0;86402.5;2163;0;0;2497.1238;3868.433954;-519.15074
2600;6534886.239;-127933.3994;480779.3751;0;0;0;-0.260069402;0.30521884;521618.3146;862189.5697;4530836.77;-0.001135996;0;0;0;0;8.092001005;0;-0.260069402;0.30521884;-3.463097526;1.453765115;0.381203591;4.536902474;3842.541311;-731.211299;0;0;86402.6;2163;0;0;2597.124045;3816.51888;-519.36792
2700;6534892.184;-127209.1779;480890.8024;0;0;0;-0.258604836;0.305274664;521545.6887;862116.9426;4530455.112;-0.001135996;0;0;0;0;8.090604092;0;-0.258604836;0.305274664;-3.462475187;1.455224919;0.381247476;4.537524813;3790.61435;-721.3299269;0;0;86402.7;2163;0;0;2697.124287;3764.582088;-519.58228
2800;6534898.048;-126484.9547;481002.223;0;0;0;-0.257139815;0.305329744;521474.0511;862045.3039;4530078.647;-0.001135996;0;0;0;0;8.089226312;0;-0.257139815;0.305329744;-3.461861153;1.45668518;0.381290779;4.538138847;3738.665764;-711.4444396;0;0;86402.8;2163;0;0;2797.124526;3712.62386;-519.79385
2900;6534903.83;-125760.7298;481113.6367;0;0;0;-0.255674343;0.305384077;521403.4022;861974.6539;4529707.379;-0.001135996;0;0;0;0;8.087867669;0;-0.255674343;0.305384077;-3.461255435;1.458145891;0.381333499;4.538744565;3686.695926;-701.5549083;0;0;86402.9;2163;0;0;2897.124762;3660.644475;-520.00252
3000;6534909.53;-125036.5033;481225.0436;0;0;0;-0.254208427;0.305437664;521333.7425;861904.993;4529341.309;-0.001135996;0;0;0;0;8.086528164;0;-0.254208427;0.305437664;-3.460658042;1.459607045;0.381375634;4.539341958;3634.705051;-691.6613737;0;0;86403;2163;0;0;2997.124994;3608.644223;-520.20836
3100;6534915.149;-124312.2751;481336.4436;0;0;0;-0.252742074;0.305490503;521265.0722;861836.3217;4528980.439;-0.001135996;0;0;0;0;8.0852078;0;-0.252742074;0.305490503;-3.460068984;1.461068638;0.381417184;4.539931016;3582.693436;-681.7638925;0;0;86403.1;2163;0;0;3097.125223;3556.623387;-520.41132
3200;6534920.686;-123588.0452;481447.8369;0;0;0;-0.251275288;0.305542594;521197.3919;861768.6404;4528624.771;-0.001135996;0;0;0;0;8.08390658;0;-0.251275288;0.305542594;-3.459488271;1.462530662;0.381458148;4.540511729;3530.661417;-671.8625284;0;0;86403.2;2163;0;0;3197.125449;3504.582255;-520.61142
3300;6534926.141;-122863.8138;481559.2233;0;0;0;-0.249808077;0.305593935;521130.702;861701.9494;4528274.307;-0.001135996;0;0;0;0;8.082624506;0;-0.249808077;0.305593935;-3.458915912;1.463993112;0.381498525;4.541084088;3478.609204;-661.9573217;0;0;86403.3;2163;0;0;3297.125672;3452.521113;-520.80859
3400;6534931.515;-122139.5807;481670.6029;0;0;0;-0.248340446;0.305644526;521065.0027;861636.249;4527929.05;-0.001135996;0;0;0;0;8.081361581;0;-0.248340446;0.305644526;-3.458351916;1.465455982;0.381538315;4.541648084;3426.537173;-652.0483437;0;0;86403.4;2163;0;0;3397.125891;3400.440254;-521.00298
3500;6534936.807;-121415.3459;481781.9757;0;0;0;-0.246872401;0.305694366;521000.2944;861571.5398;4527589;-0.001135996;0;0;0;0;8.080117807;0;-0.246872401;0.305694366;-3.457796294;1.466919265;0.381577516;4.542203706;3374.445535;-642.1356346;0;0;86403.5;2163;0;0;3497.126107;3348.339956;-521.19442
3600;6534942.017;-120691.1096;481893.3416;0;0;0;-0.245403948;0.305743455;520936.5777;861507.822;4527254.161;-0.001135996;0;0;0;0;8.078893185;0;-0.245403948;0.305743455;-3.457249055;1.468382955;0.381616128;4.542750945;3322.334596;-632.2192525;0;0;86403.6;2163;0;0;3597.126319;3296.220514;-521.38297
3700;6534947.146;-119966.8717;482004.7007;0;0;0;-0.243935095;0.30579179;520873.8527;861445.0961;4526924.534;-0.001135996;0;0;0;0;8.07768772;0;-0.243935095;0.30579179;-3.456710206;1.469847047;0.381654151;4.543289794;3270.204688;-622.2992609;0;0;86403.7;2163;0;0;3697.126528;3244.082217;-521.56863
3800;6534952.193;-119242.6322;482116.053;0;0;0;-0.242465846;0.305839372;520812.1198;861383.3623;4526600.121;-0.001135996;0;0;0;0;8.076501412;0;-0.242465846;0.305839372;-3.456179758;1.471311534;0.381691583;4.543820242;3218.056031;-612.3757015;0;0;86403.8;2163;0;0;3797.126734;3191.925354;-521.75139
3900;6534957.159;-118518.3911;482227.3985;0;0;0;-0.240996207;0.305886199;520751.3795;861322.6211;4526280.924;-0.001135996;0;0;0;0;8.075334265;0;-0.240996207;0.305886199;-3.455657719;1.47277641;0.381728423;4.544342281;3165.889;-602.4486454;0;0;86403.9;2163;0;0;3897.126937;3139.750215;-521.93128
4000;6534962.043;-117794.1484;482338.7371;0;0;0;-0.239526186;0.305932272;520691.632;861262.8727;4525966.944;-0.001135996;0;0;0;0;8.07418628;0;-0.239526186;0.305932272;-3.455144098;1.474241669;0.381764672;4.544855902;3113.703806;-592.5181333;0;0;86404;2163;0;0;3997.127136;3087.557087;-522.10822
4100;6534966.845;-117069.9041;482450.0689;0;0;0;-0.238055788;0.305977588;520632.8778;861204.1176;4525658.183;-0.001135996;0;0;0;0;8.07305746;0;-0.238055788;0.305977588;-3.454638903;1.475707304;0.381800328;4.545361097;3061.500761;-582.584224;0;0;86404.1;2163;0;0;4097.127332;3035.346265;-522.28221
4200;6534971.565;-116345.6584;482561.3938;0;0;0;-0.23658502;0.306022148;520575.1171;861146.356;4525354.644;-0.001135996;0;0;0;0;8.071947806;0;-0.23658502;0.306022148;-3.454142143;1.477173311;0.381835391;4.545857857;3009.280199;-572.6469816;0;0;86404.2;2163;0;0;4197.127525;2983.118044;-522.45331
4300;6534976.204;-115621.411;482672.7119;0;0;0;-0.235113887;0.306065951;520518.3502;861089.5883;4525056.328;-0.001135996;0;0;0;0;8.070857322;0;-0.235113887;0.306065951;-3.453653825;1.478639681;0.381869859;4.546346175;2957.042346;-562.7064486;0;0;86404.3;2163;0;0;4297.127714;2930.872713;-522.62153
4400;6534980.762;-114897.1621;482784.0232;0;0;0;-0.233642395;0.306108996;520462.5776;861033.8148;4524763.236;-0.001135996;0;0;0;0;8.069786008;0;-0.233642395;0.306108996;-3.453173959;1.48010641;0.381903733;4.546826041;2904.787568;-552.7626949;0;0;86404.4;2163;0;0;4397.1279;2878.61056;-522.78675
4500;6534985.237;-114172.9117;482895.3276;0;0;0;-0.232170552;0.306151281;520407.7994;860979.0358;4524475.371;-0.001135996;0;0;0;0;8.068733867;0;-0.232170552;0.306151281;-3.452702551;1.48157349;0.381937011;4.547297449;2852.516099;-542.8157651;0;0;86404.5;2163;0;0;4497.128083;2826.331885;-522.94907
4600;6534989.631;-113448.6598;483006.6252;0;0;0;-0.230698363;0.306192808;520354.0161;860925.2517;4524192.734;-0.001135996;0;0;0;0;8.067700902;0;-0.230698363;0.306192808;-3.452239611;1.483040916;0.381969694;4.547760389;2800.228232;-532.8657149;0;0;86404.6;2163;0;0;4597.128262;2774.036978;-523.10841
4700;6534993.944;-112724.4064;483117.9159;0;0;0;-0.229225834;0.306233574;520301.228;860872.4628;4523915.326;-0.001135996;0;0;0;0;8.066687113;0;-0.229225834;0.306233574;-3.451785145;1.484508682;0.38200178;4.548214855;2747.924317;-522.9126108;0;0;86404.7;2163;0;0;4697.128439;2721.726137;-523.2649
4800;6534998.174;-112000.1515;483229.1998;0;0;0;-0.227752971;0.306273579;520249.4352;860820.6693;4523643.149;-0.001135996;0;0;0;0;8.065692504;0;-0.227752971;0.306273579;-3.451339161;1.485976781;0.382033268;4.548660839;2695.604579;-512.9564957;0;0;86404.8;2163;0;0;4797.128611;2669.399647;-523.4183
4900;6535002.323;-111275.895;483340.4769;0;0;0;-0.226279782;0.306312823;520198.6382;860769.8716;4523376.205;-0.001135996;0;0;0;0;8.064717075;0;-0.226279782;0.306312823;-3.450901666;1.487445208;0.382064159;4.549098334;2643.269382;-502.9974388;0;0;86404.9;2163;0;0;4897.128781;2617.057817;-523.56885
5000;6535006.391;-110551.6371;483451.7471;0;0;0;-0.224806271;0.306351305;520148.8373;860720.0699;4523114.496;-0.001135996;0;0;0;0;8.063760829;0;-0.224806271;0.306351305;-3.450472669;1.488913955;0.382094451;4.549527331;2590.918962;-493.0354852;0;0;86405;2163;0;0;4997.128947;2564.700932;-523.71641
5100;6535010.377;-109827.3778;483563.0104;0;0;0;-0.223332446;0.306389023;520100.0327;860671.2646;4522858.022;-0.001135996;0;0;0;0;8.062823768;0;-0.223332446;0.306389023;-3.450052175;1.490383016;0.382124144;4.549947825;2538.553631;-483.0706941;0;0;86405.1;2163;0;0;5097.12911;2512.329291;-523.86098
5200;6535014.281;-109103.1169;483674.2669;0;0;0;-0.221858312;0.306425979;520052.2246;860623.4559;4522606.786;-0.001135996;0;0;0;0;8.061905893;0;-0.221858312;0.306425979;-3.449640193;1.491852386;0.382153237;4.550359807;2486.173712;-473.1031269;0;0;86405.2;2163;0;0;5197.129269;2459.943193;-524.00266
5300;6535018.103;-108378.8546;483785.5165;0;0;0;-0.220383876;0.30646217;520005.4135;860576.6441;4522360.788;-0.001135996;0;0;0;0;8.061007207;0;-0.220383876;0.30646217;-3.449236728;1.493322058;0.38218173;4.550763272;2433.779458;-463.1328319;0;0;86405.3;2163;0;0;5297.129425;2407.542927;-524.14128
5400;6535021.844;-107654.5909;483896.7593;0;0;0;-0.218909145;0.306497597;519959.5994;860530.8294;4522120.03;-0.001135996;0;0;0;0;8.06012771;0;-0.218909145;0.306497597;-3.448841788;1.494792026;0.382209623;4.551158212;2381.371226;-453.1598769;0;0;86405.4;2163;0;0;5397.129578;2355.128799;-524.27697
5500;6535025.503;-106930.3257;484007.9952;0;0;0;-0.217434123;0.306532258;519914.7828;860486.0122;4521884.514;-0.001135996;0;0;0;0;8.059267405;0;-0.217434123;0.306532258;-3.448455379;1.496262283;0.382236914;4.551544621;2328.949249;-443.1843063;0;0;86405.5;2163;0;0;5497.129728;2302.701102;-524.40971
5600;6535029.081;-106206.0591;484119.2243;0;0;0;-0.215958819;0.306566153;519870.9639;860442.1926;4521654.241;-0.001135996;0;0;0;0;8.058426294;0;-0.215958819;0.306566153;-3.448077508;1.497732823;0.382263603;4.551922492;2276.513846;-433.2061809;0;0;86405.6;2163;0;0;5597.129874;2250.260131;-524.53936
5700;6535032.577;-105481.7911;484230.4465;0;0;0;-0.214483237;0.306599282;519828.1429;860399.371;4521429.212;-0.001135996;0;0;0;0;8.057604377;0;-0.214483237;0.306599282;-3.447708181;1.499203641;0.38228969;4.552291819;2224.065347;-423.2255634;0;0;86405.7;2163;0;0;5697.130017;2197.806195;-524.66615
5800;6535035.991;-104757.5216;484341.6618;0;0;0;-0.213007385;0.306631645;519786.32;860357.5476;4521209.428;-0.001135996;0;0;0;0;8.056801657;0;-0.213007385;0.306631645;-3.447347405;1.500674729;0.382315174;4.552652595;2171.603995;-413.2425;0;0;86405.8;2163;0;0;5797.130156;2145.33958;-524.78986
5900;6535039.324;-104033.2508;484452.8703;0;0;0;-0.211531268;0.306663239;519745.4955;860316.7226;4520994.891;-0.001135996;0;0;0;0;8.056018135;0;-0.211531268;0.306663239;-3.446995184;1.502146081;0.382340054;4.553004816;2119.13015;-403.2570594;0;0;86405.9;2163;0;0;5897.130292;2092.860594;-524.91068
6000;6535042.575;-103308.9786;484564.0719;0;0;0;-0.210054893;0.306694066;519705.6697;860276.8963;4520785.603;-0.001135996;0;0;0;0;8.055253812;0;-0.210054893;0.306694066;-3.446651526;1.503617691;0.382364331;4.553348474;2066.644068;-393.2692902;0;0;86406;2163;0;0;5997.130425;2040.369526;-525.02838
6100;6535045.744;-102584.705;484675.2666;0;0;0;-0.208578266;0.306724124;519666.8428;860238.0688;4520581.563;-0.001135996;0;0;0;0;8.054508691;0;-0.208578266;0.306724124;-3.446316436;1.505089553;0.382388003;4.553683564;2014.146045;-383.2792484;0;0;86406.1;2163;0;0;6097.130555;1987.866688;-525.14311
6200;6535048.832;-101860.43;484786.4545;0;0;0;-0.207101394;0.306753413;519629.0149;860200.2405;4520382.774;-0.001135996;0;0;0;0;8.053782772;0;-0.207101394;0.306753413;-3.445989919;1.50656166;0.382411071;4.554010081;1961.636419;-373.2869988;0;0;86406.2;2163;0;0;6197.130681;1935.352377;-525.25488
6300;6535051.838;-101136.1536;484897.6355;0;0;0;-0.205624283;0.306781932;519592.1864;860163.4115;4520189.236;-0.001135996;0;0;0;0;8.053076057;0;-0.205624283;0.306781932;-3.445671981;1.508034006;0.382433533;4.554328019;1909.115447;-363.2925902;0;0;86406.3;2163;0;0;6297.130804;1882.826889;-525.36371
6400;6535054.762;-100411.8759;485008.8096;0;0;0;-0.204146939;0.306809681;519556.3574;860127.582;4520000.951;-0.001135996;0;0;0;0;8.052388548;0;-0.204146939;0.306809681;-3.445362628;1.509506585;0.38245539;4.554637372;1856.583473;-353.296088;0;0;86406.4;2163;0;0;6397.130923;1830.290518;-525.46928
6500;6535057.605;-99687.59688;485119.9769;0;0;0;-0.202669369;0.30683666;519521.5281;860092.7523;4519817.92;-0.001135996;0;0;0;0;8.051720245;0;-0.202669369;0.30683666;-3.445061864;1.510979389;0.38247664;4.554938136;1804.04076;-343.2975422;0;0;86406.5;2163;0;0;6497.131039;1777.74359;-525.57213
6600;6535060.366;-98963.31649;485231.1372;0;0;0;-0.201191579;0.306862868;519487.6988;860058.9226;4519640.143;-0.001135996;0;0;0;0;8.051071151;0;-0.201191579;0.306862868;-3.444769695;1.512452414;0.382497284;4.555230305;1751.487624;-333.2970128;0;0;86406.6;2163;0;0;6597.131152;1725.186377;-525.67181
6700;6535063.046;-98239.03477;485342.2907;0;0;0;-0.199713575;0.306888305;519454.8696;860026.093;4519467.623;-0.001135996;0;0;0;0;8.050441265;0;-0.199713575;0.306888305;-3.444486125;1.513925653;0.382517321;4.555513875;1698.924375;-323.2945591;0;0;86406.7;2163;0;0;6697.131262;1672.619196;-525.76845
6800;6535065.643;-97514.75174;485453.4374;0;0;0;-0.198235363;0.306912969;519423.0407;859994.2637;4519300.359;-0.001135996;0;0;0;0;8.04983059;0;-0.198235363;0.306912969;-3.44421116;1.515399098;0.382536751;4.55578884;1646.351292;-313.2902341;0;0;86406.8;2163;0;0;6797.131368;1620.042351;-525.86215
6900;6535068.16;-96790.46739;485564.5771;0;0;0;-0.196756951;0.306936862;519392.2123;859963.435;4519138.353;-0.001135996;0;0;0;0;8.049239127;0;-0.196756951;0.306936862;-3.443944804;1.516872745;0.382555573;4.556055196;1593.768714;-303.2841022;0;0;86406.9;2163;0;0;6897.131471;1567.456136;-525.95275
7000;6535070.594;-96066.18174;485675.71;0;0;0;-0.195278344;0.306959982;519362.3846;859933.607;4518981.605;-0.001135996;0;0;0;0;8.048666876;0;-0.195278344;0.306959982;-3.443687061;1.518346585;0.382573787;4.556312939;1541.176905;-293.2762137;0;0;86407;2163;0;0;6997.13157;1514.860861;-526.0404
7100;6535072.947;-95341.8948;485786.836;0;0;0;-0.19379955;0.306982329;519333.5578;859904.7798;4518830.118;-0.001135996;0;0;0;0;8.04811384;0;-0.19379955;0.306982329;-3.443437936;1.519820614;0.382591392;4.556562064;1488.576179;-283.2666284;0;0;86407.1;2163;0;0;7097.131666;1462.256821;-526.12496
7200;6535075.218;-94617.60658;485897.9551;0;0;0;-0.192320573;0.307003902;519305.732;859876.9537;4518683.89;-0.001135996;0;0;0;0;8.047580018;0;-0.192320573;0.307003902;-3.443197433;1.521294824;0.382608389;4.556802567;1435.966858;-273.2554075;0;0;86407.2;2163;0;0;7197.131759;1409.644325;-526.20656
