Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);Doppler;Drift
500;6488197.914;-86723.55866;-35302.51884;0;0;0;-1.957382236;0.865862064;144499.9893;485066.9179;2549043.858;-0.001135998;0;0;0;0;3.229775407;0;-1.957382236;0.865862064;1.4347712;-0.35133149;0.880292428;9.4347712;23234.22362;-4421.325748;0;0;86400.5;2163;0;0;498.3819909;23171.09538;-1260.2453
600;6488209.203;-85983.79684;-35274.79218;0;0;0;-1.96010696;0.869588851;144059.058;484625.9771;2546726.699;-0.001135998;0;0;0;0;3.219641083;0;-1.96010696;0.869588851;1.470506828;-0.354055893;0.883912052;9.470506828;23108.7727;-4397.45323;0;0;86400.6;2163;0;0;598.3834617;23045.07085;-1271.826
700;6488220.407;-85244.03398;-35247.06501;0;0;0;-1.962872736;0.873334363;143620.5249;484187.4346;2544422.142;-0.001135998;0;0;0;0;3.209564215;0;-1.962872736;0.873334363;1.507200992;-0.356821348;0.88755051;9.507200992;22982.16723;-4373.361011;0;0;86400.7;2163;0;0;698.3849246;22917.88825;-1283.484
800;6488231.529;-84504.2701;-35219.33732;0;0;0;-1.965680458;0.877098553;143184.412;483751.3123;2542130.304;-0.001135998;0;0;0;0;3.199545261;0;-1.965680458;0.877098553;1.547673412;-0.359628749;0.891207754;9.547673412;22854.4;-4349.047716;0;0;86400.8;2163;0;0;798.3863793;22789.53985;-1295.2183
900;6488242.567;-83764.50521;-35191.60912;0;0;0;-1.96853104;0.880881362;142750.7415;483317.6324;2539851.301;-0.001135998;0;0;0;0;3.189584683;0;-1.96853104;0.880881362;1.58834604;-0.36247901;0.894883732;9.58834604;22725.46313;-4324.511844;0;0;86400.9;2163;0;0;898.3878259;22660.01802;-1307.0281
1000;6488253.521;-83024.7393;-35163.88041;0;0;0;-1.971425426;0.88468273;142319.5357;482886.4174;2537585.251;-0.001135998;0;0;0;0;3.179682945;0;-1.971425426;0.88468273;1.629218205;-0.365373075;0.898578384;9.629218205;22595.34885;-4299.75192;0;0;86401;2163;0;0;998.3892643;22529.31521;-1318.9125
1100;6488264.392;-82284.97241;-35136.15119;0;0;0;-1.974364582;0.888502587;141890.8171;482457.6896;2535332.271;-0.001135998;0;0;0;0;3.169840516;0;-1.974364582;0.888502587;1.670289158;-0.36831191;0.902291643;9.670289158;22464.05009;-4274.766597;0;0;86401.1;2163;0;0;1098.390694;22397.42396;-1330.8706
1200;6488275.179;-81545.20452;-35108.42145;0;0;0;-1.977349504;0.892340856;141464.6083;482031.4716;2533092.48;-0.001135998;0;0;0;0;3.160057868;0;-1.977349504;0.892340856;1.714935068;-0.371296511;0.906023434;9.714935068;22331.55884;-4249.55435;0;0;86401.2;2163;0;0;1198.392116;22264.3369;-1342.9013
1300;6488285.883;-80805.43567;-35080.69121;0;0;0;-1.980381214;0.896197452;141040.932;481607.7863;2530865.999;-0.001135998;0;0;0;0;3.150335475;0;-1.980381214;0.896197452;1.762259826;-0.374327901;0.909773678;9.762259826;22197.86831;-4224.11389;0;0;86401.3;2163;0;0;1298.393529;22130.04677;-1355.0034
1400;6488296.503;-80065.66584;-35052.96046;0;0;0;-1.983460765;0.900072286;140619.8112;481186.6565;2528652.947;-0.001135998;0;0;0;0;3.140673814;0;-1.983460765;0.900072286;1.809808367;-0.377407131;0.913542285;9.809808367;22062.9711;-4198.443804;0;0;86401.4;2163;0;0;1398.394934;21994.54643;-1367.1761
1500;6488307.04;-79325.89506;-35025.2292;0;0;0;-1.986589239;0.903965256;140201.2689;480768.1052;2526453.445;-0.001135998;0;0;0;0;3.131073368;0;-1.986589239;0.903965256;1.85757947;-0.380535284;0.917329159;9.85757947;21926.85997;-4172.542717;0;0;86401.5;2163;0;0;1498.39633;21857.82882;-1379.4177
1600;6488317.493;-78586.12334;-34997.49743;0;0;0;-1.989767746;0.907876256;139785.3283;480352.1557;2524267.616;-0.001135998;0;0;0;0;3.121534619;0;-1.989767746;0.907876256;1.905879422;-0.383713471;0.921134195;9.905879422;21789.52832;-4146.409373;0;0;86401.6;2163;0;0;1598.397718;21719.88705;-1391.7274
1700;6488327.863;-77846.35068;-34969.76515;0;0;0;-1.992997433;0.911805169;139372.0126;479938.8312;2522095.58;-0.001135998;0;0;0;0;3.112058054;0;-1.992997433;0.911805169;1.958053516;-0.386942837;0.924957281;9.958053516;21650.96876;-4120.042365;0;0;86401.7;2163;0;0;1698.399096;21580.71431;-1404.1035
1800;6488338.149;-77106.5771;-34942.03236;0;0;0;-1.996279476;0.91575187;138961.3452;479528.155;2519937.463;-0.001135998;0;0;0;0;3.102644165;0;-1.996279476;0.91575187;2.010463827;-0.39022456;0.928798294;10.01046383;21511.17506;-4093.440508;0;0;86401.8;2163;0;0;1798.400466;21440.30396;-1416.545
