Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);Doppler;Drift
500;6472803.563;-285820.1454;343236.6434;0;0;0;-0.69437642;0.208848641;456581.1355;797155.8685;4189082.363;-0.001135996;0;0;0;0;11.57298656;0;-0.69437642;0.208848641;-4.597850474;0.727286941;0.277744966;3.402149526;28207.94869;-5367.794158;0;0;86400.5;2163;0;0;497.3409742;28192.63998;-289.2309
600;6472841.989;-285089.2257;343120.6702;0;0;0;-0.693283699;0.209184106;456044.6474;796619.3637;4186263.011;-0.001135996;0;0;0;0;11.55558383;0;-0.693283699;0.209184106;-4.593880018;0.728376686;0.277994445;3.406119982;28179.07493;-5362.299664;0;0;86400.6;2163;0;0;597.3427638;28163.71689;-290.2568
700;6472880.331;-284358.3024;343004.6921;0;0;0;-0.692188251;0.209519942;455508.7097;796083.4093;4183446.552;-0.001135996;0;0;0;0;11.53821447;0;-0.692188251;0.209519942;-4.58989465;0.72946916;0.278244375;3.41010535;28150.09892;-5356.785712;0;0;86400.7;2163;0;0;697.3445516;28134.69121;-291.2864
800;6472918.589;-283627.3755;342888.709;0;0;0;-0.691090068;0.209856146;454973.3243;795548.0072;4180632.995;-0.001135996;0;0;0;0;11.52087846;0;-0.691090068;0.209856146;-4.585871418;0.730564368;0.278494757;3.414128582;28121.01994;-5351.252167;0;0;86400.8;2163;0;0;797.3463375;28105.56257;-292.3198
900;6472956.764;-282896.4451;342772.7209;0;0;0;-0.689989141;0.210192718;454438.4932;795013.1595;4177822.351;-0.001135996;0;0;0;0;11.50357579;0;-0.689989141;0.210192718;-4.581843778;0.73166232;0.27874559;3.418156222;28091.83813;-5345.699054;0;0;86400.9;2163;0;0;897.3481215;28076.33059;-293.3569
1000;6472994.856;-282165.5111;342656.7278;0;0;0;-0.688885464;0.210529658;453904.2184;794478.868;4175014.631;-0.001135996;0;0;0;0;11.48630643;0;-0.688885464;0.210529658;-4.577811741;0.732763023;0.278996873;3.422188259;28062.55254;-5340.126191;0;0;86401;2163;0;0;997.3499038;28046.9949;-294.3979
1100;6473032.864;-281434.5736;342540.7297;0;0;0;-0.687779029;0.210866965;453370.5018;793945.1349;4172209.844;-0.001135996;0;0;0;0;11.46907038;0;-0.687779029;0.210866965;-4.573775317;0.733866485;0.279248607;3.426224683;28033.16305;-5334.533557;0;0;86401.1;2163;0;0;1097.351684;28017.55511;-295.4427
1200;6473070.788;-280703.6325;342424.7265;0;0;0;-0.686669828;0.211204637;452837.3455;793411.962;4169408.001;-0.001135996;0;0;0;0;11.45186761;0;-0.686669828;0.211204637;-4.569734516;0.734972712;0.279500789;3.430265484;28003.6694;-5328.921102;0;0;86401.2;2163;0;0;1197.353463;27988.01084;-296.4912
1300;6473108.629;-279972.6879;342308.7184;0;0;0;-0.685557853;0.211542675;452304.7514;792879.3513;4166609.114;-0.001135996;0;0;0;0;11.43469812;0;-0.685557853;0.211542675;-4.565689348;0.736081713;0.279753421;3.434310652;27974.0709;-5323.288695;0;0;86401.3;2163;0;0;1297.355239;27958.36172;-297.5436
1400;6473146.387;-279241.7398;342192.7053;0;0;0;-0.684443096;0.211881076;451772.7214;792347.3049;4163813.191;-0.001135996;0;0;0;0;11.41756188;0;-0.684443096;0.211881076;-4.561639825;0.737193495;0.2800065;3.438360175;27944.36767;-5317.636357;0;0;86401.4;2163;0;0;1397.357014;27928.60736;-298.5999
1500;6473184.061;-278510.7882;342076.6872;0;0;0;-0.683325551;0.21221984;451241.2577;791815.8247;4161020.244;-0.001135996;0;0;0;0;11.40045888;0;-0.683325551;0.21221984;-4.557585956;0.738308067;0.280260027;3.442414044;27914.55874;-5311.963907;0;0;86401.5;2163;0;0;1497.358787;27898.74737;-299.6599
1600;6473221.652;-277779.8331;341960.6641;0;0;0;-0.682205209;0.212558967;450710.3622;791284.9128;4158230.283;-0.001135996;0;0;0;0;11.3833891;0;-0.682205209;0.212558967;-4.553527754;0.739425436;0.280514002;3.446472246;27884.64402;-5306.271325;0;0;86401.6;2163;0;0;1597.360558;27868.78138;-300.7239
1700;6473259.159;-277048.8745;341844.636;0;0;0;-0.681082062;0.212898454;450180.0369;790754.5711;4155443.318;-0.001135996;0;0;0;0;11.36635254;0;-0.681082062;0.212898454;-4.549465229;0.74054561;0.280768422;3.450534771;27854.62319;-5300.558552;0;0;86401.7;2163;0;0;1697.362327;27838.70899;-301.7918
1800;6473296.583;-276317.9124;341728.6029;0;0;0;-0.679956103;0.213238302;449650.2839;790224.8018;4152659.361;-0.001135996;0;0;0;0;11.34934918;0;-0.679956103;0.213238302;-4.545398394;0.741668595;0.281023289;3.454601606;27824.49561;-5294.825462;0;0;86401.8;2163;0;0;1797.364094;27808.52981;-302.8633
1900;6473333.923;-275586.9468;341612.5648;0;0;0;-0.678827324;0.21357851;449121.1052;789695.6067;4149878.423;-0.001135996;0;0;0;0;11.33237899;0;-0.678827324;0.21357851;-4.541327258;0.742794401;0.281278601;3.458672742;27794.26138;-5289.072081;0;0;86401.9;2163;0;0;1897.365859;27778.24348;-303.939
2000;6473371.18;-274855.9778;341496.5218;0;0;0;-0.677695717;0.213919075;448592.5028;789166.988;4147100.513;-0.001135996;0;0;0;0;11.31544198;0;-0.677695717;0.213919075;-4.537251835;0.743923035;0.281534357;3.462748165;27763.91951;-5283.298214;0;0;86402;2163;0;0;1997.367622;27747.84958;-305.0184
2100;6473408.353;-274125.0053;341380.4737;0;0;0;-0.676561275;0.214259998;448064.4787;788638.9478;4144325.642;-0.001135996;0;0;0;0;11.29853812;0;-0.676561275;0.214259998;-4.533172137;0.745054504;0.281790556;3.466827863;27733.46991;-5277.503849;0;0;86402.1;2163;0;0;2097.369384;27717.34774;-306.1018
2200;6473445.443;-273394.0294;341264.4207;0;0;0;-0.67542399;0.214601277;447537.0352;788111.488;4141553.822;-0.001135996;0;0;0;0;11.28166741;0;-0.67542399;0.214601277;-4.529088176;0.746188817;0.282047199;3.470911824;27702.91227;-5271.688924;0;0;86402.2;2163;0;0;2197.371143;27686.73756;-307.189
2300;6473482.449;-272663.0501;341148.3627;0;0;0;-0.674283854;0.214942911;447010.1741;787584.6107;4138785.064;-0.001135996;0;0;0;0;11.26482983;0;-0.674283854;0.214942911;-4.524999963;0.747325981;0.282304284;3.475000037;27672.24592;-5265.853312;0;0;86402.3;2163;0;0;2297.372901;27656.01866;-308.2802
2400;6473519.372;-271932.0673;341032.2997;0;0;0;-0.673140858;0.2152849;446483.8975;787058.318;4136019.377;-0.001135996;0;0;0;0;11.24802536;0;-0.673140858;0.2152849;-4.520907514;0.748466004;0.282561811;3.479092486;27641.47099;-5259.997037;0;0;86402.4;2163;0;0;2397.374656;27625.19064;-309.3754
2500;6473556.211;-271201.0812;340916.2317;0;0;0;-0.671994996;0.215627241;445958.2076;786532.612;4133256.773;-0.001135996;0;0;0;0;11.23125401;0;-0.671994996;0.215627241;-4.516810839;0.749608894;0.282819779;3.483189161;27610.58646;-5254.119905;0;0;86402.5;2163;0;0;2497.37641;27594.2531;-310.4744
2600;6473592.967;-270470.0916;340800.1588;0;0;0;-0.67084626;0.215969935;445433.1064;786007.4947;4130497.263;-0.001135996;0;0;0;0;11.21451575;0;-0.67084626;0.215969935;-4.512709952;0.750754658;0.283078186;3.487290048;27579.59225;-5248.221904;0;0;86402.6;2163;0;0;2597.378161;27563.20566;-311.5773
2700;6473629.639;-269739.0986;340684.0809;0;0;0;-0.669694641;0.216312979;444908.5961;785482.9683;4127740.858;-0.001135996;0;0;0;0;11.19781057;0;-0.669694641;0.216312979;-4.508604867;0.751903305;0.283337033;3.491395133;27548.48804;-5242.302969;0;0;86402.7;2163;0;0;2697.379911;27532.04793;-312.6844
