Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);Doppler;Drift
500;6538654.291;-62136.61351;75112.2833;0;0;0;-0.691137174;1.025019905;187797.7868;528363.8344;2776570.69;-0.001135996;0;0;0;0;2.879665949;0;-0.691137174;1.025019905;3.353979335;1.857676672;1.03992743;11.35397934;-6694.374708;1273.89715;0;0;86400.5;2163;0;0;498.237568;-6769.922394;-1511.32734
600;6538650.525;-61747.6067;75760.54134;0;0;0;-0.68384253;1.023853632;187926.6141;528492.6641;2777247.695;-0.001135996;0;0;0;0;2.881699677;0;-0.68384253;1.023853632;3.343944503;1.864970416;1.038800024;11.3439445;-6845.666609;1302.687042;0;0;86400.6;2163;0;0;598.2371382;-6921.055128;-1508.15267
700;6538646.672;-61358.599;76408.79824;0;0;0;-0.676586107;1.022665243;188058.3174;528624.3698;2777939.813;-0.001135996;0;0;0;0;2.883778953;0;-0.676586107;1.022665243;3.333719379;1.872225935;1.037651293;11.33371938;-6996.643959;1331.417076;0;0;86400.7;2163;0;0;698.2366989;-7071.870395;-1504.91798
800;6538642.732;-60969.59041;77057.05398;0;0;0;-0.669368363;1.021455022;188192.8907;528758.9455;2778647.013;-0.001135996;0;0;0;0;2.885903689;0;-0.669368363;1.021455022;3.323306416;1.879442776;1.036481516;11.32330642;-7147.300889;1360.086137;0;0;86400.8;2163;0;0;798.23625;-7222.362193;-1501.62392
900;6538638.705;-60580.58093;77705.30857;0;0;0;-0.662189737;1.020223259;188330.3277;528896.385;2779369.262;-0.001135996;0;0;0;0;2.888073798;0;-0.662189737;1.020223259;3.312708087;1.8866205;1.035290974;11.31270809;-7297.63137;1388.693076;0;0;86400.9;2163;0;0;898.2357916;-7372.524585;-1498.27141
1000;6538634.59;-60191.57057;78353.56199;0;0;0;-0.655050643;1.018970241;188470.6221;529036.682;2780106.528;-0.001135996;0;0;0;0;2.890289191;0;-0.655050643;1.018970241;3.301926886;1.893758687;1.034079949;11.30192689;-7447.629435;1417.236759;0;0;86401;2163;0;0;998.2353236;-7522.351726;-1494.86105
1100;6538630.388;-59802.55933;79001.81423;0;0;0;-0.647951479;1.017696262;188613.7677;529179.8302;2780858.777;-0.001135996;0;0;0;0;2.892549776;0;-0.647951479;1.017696262;3.290965326;1.900856947;1.032848729;11.29096533;-7597.289444;1445.716112;0;0;86401.1;2163;0;0;1098.234846;-7671.837831;-1491.39347
1200;6538626.099;-59413.54721;79650.06528;0;0;0;-0.64089262;1.016401614;188759.7579;529325.823;2781625.975;-0.001135996;0;0;0;0;2.89485546;0;-0.64089262;1.016401614;3.279825936;1.907914899;1.0315976;11.27982594;-7746.60543;1474.129999;0;0;86401.2;2163;0;0;1198.234359;-7820.977178;-1487.86959
1300;6538621.723;-59024.53422;80298.31513;0;0;0;-0.633874419;1.015086595;188908.5862;529474.654;2782408.086;-0.001135996;0;0;0;0;2.897206151;0;-0.633874419;1.015086595;3.26851126;1.914932194;1.030326852;11.26851126;-7895.571895;1502.477375;0;0;86401.3;2163;0;0;1298.233863;-7969.764137;-1484.29018
1400;6538617.259;-58635.52037;80946.56378;0;0;0;-0.626897213;1.0137515;189060.2458;529626.3163;2783205.077;-0.001135996;0;0;0;0;2.899601751;0;-0.626897213;1.0137515;3.257023855;1.921908494;1.029036774;11.25702386;-8044.183196;1530.757165;0;0;86401.4;2163;0;0;1398.233357;-8118.193155;-1480.65575
